,no_of_months,no_of_commits,congruences
<<<<<<< Updated upstream
0,1,10,0.5555555555555556
1,2,4,0.3333333333333333
2,3,5,0.5
3,4,20,0.5
4,5,6,1.0
5,6,3,0.5
6,7,3,0.6
7,8,5,0.6
8,9,2,1.0
9,10,2,1.0
10,11,5,0.3333333333333333
11,12,7,1.0
12,13,11,0.4666666666666667
13,14,3,1.0
14,15,3,1.0
15,16,2,1.0
16,17,3,1.0
17,18,3,1.0
18,19,3,0.5555555555555556
19,20,4,0.5
20,21,4,0.6
21,22,3,0.6
22,23,2,1.0
23,24,12,0.42857142857142855
24,25,2,0.5
25,26,2,1.0
=======
0,0,10,1.0
1,1,3,1.0
2,2,4,1.0
3,3,19,1.0
4,4,5,1.0
5,5,2,1.0
6,6,2,1.0
7,7,4,1.0
8,8,1,1.0
9,9,1,1.0
10,10,4,1.0
11,11,6,1.0
12,12,10,1.0
13,13,2,1.0
14,14,2,1.0
15,15,1,1.0
16,16,2,1.0
17,17,2,1.0
18,18,2,1.0
19,19,3,1.0
20,20,3,1.0
21,21,2,1.0
22,22,1,1.0
23,23,11,1.0
24,24,1,1.0
>>>>>>> Stashed changes
