,no_of_months,no_of_commits,congruences
0,1,7,1.0
1,2,14,0.5555555555555556
2,3,26,0.42857142857142855
3,4,20,0.5
4,5,15,0.25
5,6,3,1.0
6,7,2,1.0
7,8,14,0.5
8,9,18,0.5
9,10,19,0.25
10,11,6,0.5
11,12,7,0.5
12,13,34,0.5555555555555556
13,14,6,1.0
14,15,11,0.5
15,16,3,1.0
16,17,5,0.5
17,18,36,0.18518518518518517
18,19,11,0.38461538461538464
19,20,13,0.5555555555555556
20,21,11,0.46153846153846156
21,22,4,0.6
22,23,8,1.0
23,24,5,1.0
24,25,2,1.0
25,26,18,0.5882352941176471
26,27,7,0.5
27,28,7,1.0
