,no_of_months,no_of_commits,congruences
0,1,33,0.5555555555555556
1,2,17,1.0
2,3,52,0.3333333333333333
3,4,36,0.5
4,5,11,1.0
5,6,15,0.5
6,7,17,0.375
7,8,11,0.25
8,9,2,1.0
9,10,9,1.0
10,11,42,1.0
11,12,30,1.0
12,13,19,0.5
13,14,10,1.0
14,15,26,1.0
15,16,10,1.0
16,17,19,0.6
17,18,21,0.5555555555555556
18,19,12,0.5
19,20,11,1.0
20,21,26,1.0
21,22,2,1.0
22,23,70,0.5
23,24,33,0.5
24,25,15,0.5
25,26,16,1.0
26,27,13,1.0
27,28,10,0.5
28,29,20,0.5
29,30,67,0.391304347826087
30,31,9,1.0
31,32,18,1.0
32,33,15,0.5
33,34,3,1.0
34,35,11,1.0
35,36,0,0.0
