,no_of_months,no_of_commits,congruences
0,1,54,0.5
1,2,168,0.4444444444444444
2,3,172,0.475
3,4,113,0.5172413793103449
4,5,43,0.5384615384615384
5,6,81,0.3333333333333333
6,7,60,0.4782608695652174
7,8,34,0.6666666666666666
8,9,75,0.40350877192982454
9,10,65,0.4117647058823529
10,11,44,0.6
11,12,71,0.4074074074074074
12,13,130,0.2777777777777778
13,14,101,0.3333333333333333
14,15,166,0.4
15,16,73,0.6842105263157895
16,17,44,0.8
17,18,30,1.0
18,19,23,0.8333333333333334
19,20,15,0.6
20,21,96,0.5
21,22,76,0.47368421052631576
22,23,66,0.5555555555555556
23,24,29,0.3333333333333333
24,25,26,0.6666666666666666
25,26,27,0.75
26,27,16,0.5
27,28,96,0.7142857142857143
28,29,49,0.6410256410256411
29,30,14,0.6
30,31,7,1.0
31,32,15,1.0
32,33,23,0.8
33,34,13,1.0
34,35,11,1.0
35,36,4,1.0
36,37,39,0.7142857142857143
37,38,11,1.0
38,39,6,1.0
39,40,4,1.0
40,41,21,1.0
41,42,19,1.0
42,43,36,0.7333333333333333
43,44,45,0.29411764705882354
44,45,16,0.4666666666666667
45,46,11,0.7142857142857143
46,47,15,1.0
