,no_of_months,no_of_commits,congruences
0,1,2,0.5
1,2,14,0.3333333333333333
2,3,4,0.3333333333333333
3,4,91,0.6326530612244898
4,5,230,0.34782608695652173
5,6,359,0.23076923076923078
6,7,310,0.3793103448275862
7,8,277,0.25
8,9,310,0.375
9,10,426,0.28205128205128205
10,11,334,0.42105263157894735
11,12,338,0.3333333333333333
12,13,311,0.3939393939393939
13,14,297,0.3548387096774194
14,15,315,0.52
15,16,135,0.3548387096774194
16,17,227,0.5294117647058824
17,18,192,0.391304347826087
18,19,203,0.4482758620689655
19,20,126,0.3684210526315789
20,21,198,0.375
21,22,56,0.3548387096774194
22,23,72,0.7142857142857143
23,24,275,0.375
24,25,275,0.3157894736842105
25,26,92,0.7777777777777778
26,27,63,0.5384615384615384
27,28,152,0.5
28,29,196,0.375
29,30,143,0.5555555555555556
30,31,201,0.6666666666666666
31,32,128,0.5294117647058824
32,33,381,0.5185185185185185
33,34,345,0.4117647058823529
34,35,322,0.3684210526315789
35,36,260,0.4594594594594595
36,37,356,0.40229885057471265
37,38,289,0.3684210526315789
38,39,99,0.4666666666666667
39,40,299,0.375
40,41,297,0.38461538461538464
41,42,275,0.5272727272727272
42,43,139,0.5510204081632653
43,44,109,0.36585365853658536
44,45,130,0.4444444444444444
45,46,238,0.4358974358974359
46,47,155,0.52
47,48,111,0.5454545454545454
48,49,125,0.5714285714285714
49,50,148,0.5714285714285714
50,51,63,0.5
51,52,46,0.5714285714285714
52,53,262,0.3888888888888889
53,54,196,0.5
54,55,113,0.5555555555555556
55,56,131,0.5555555555555556
56,57,114,0.6666666666666666
57,58,142,0.42857142857142855
58,59,18,1.0
59,60,2,0.0
