,no_of_months,no_of_commits,congruences
<<<<<<< Updated upstream
0,1,74,0.68
1,2,29,0.4782608695652174
2,3,9,0.75
3,4,16,0.6
4,5,24,0.5555555555555556
5,6,6,1.0
6,7,4,0.5
7,8,4,1.0
8,9,13,0.3333333333333333
9,10,8,0.6
10,11,7,0.6
11,12,5,0.5
12,13,75,0.4110429447852761
13,14,56,0.5625
14,15,57,0.5180722891566265
15,16,34,0.5555555555555556
16,17,38,0.6
17,18,41,0.6296296296296297
18,19,126,0.6030534351145038
19,20,65,0.5185185185185185
20,21,82,0.5844155844155844
21,22,84,0.5483870967741935
22,23,98,0.610062893081761
23,24,92,0.5078534031413613
24,25,97,0.5666666666666667
25,26,105,0.5446153846153846
26,27,131,0.5447941888619855
27,28,82,0.4756554307116105
28,29,107,0.5328467153284672
29,30,112,0.5060240963855421
30,31,81,0.6156156156156156
31,32,151,0.6138211382113821
32,33,121,0.47330960854092524
33,34,103,0.6344086021505376
34,35,113,0.5939849624060151
35,36,118,0.5836575875486382
36,37,68,0.5614973262032086
37,38,71,0.5215311004784688
38,39,81,0.6677740863787376
39,40,61,0.6020942408376964
40,41,75,0.5272727272727272
41,42,72,0.6398467432950191
42,43,62,0.6121212121212121
43,44,74,0.5927272727272728
44,45,92,0.5219512195121951
45,46,92,0.6041666666666666
46,47,93,0.5462686567164179
47,48,84,0.6582633053221288
48,49,63,0.6938775510204082
49,50,101,0.5604838709677419
50,51,111,0.6824324324324325
51,52,11,1.0
=======
0,0,74,0.6875
1,1,28,0.5
2,2,8,0.4782608695652174
3,3,15,0.5
4,4,23,0.6666666666666666
5,5,5,0.4461538461538462
6,6,3,0.21875
7,7,3,0.5294117647058824
8,8,12,0.47368421052631576
9,9,7,0.5111111111111111
10,10,6,0.5833333333333334
11,11,4,0.6
12,12,74,0.6
13,13,55,0.6129032258064516
14,14,56,0.6
15,15,33,0.5
16,16,37,0.5217391304347826
17,17,40,0.6129032258064516
18,18,125,0.5254237288135594
19,19,64,0.627906976744186
20,20,81,0.46153846153846156
21,21,83,0.625
22,22,97,0.56
23,23,91,0.6078431372549019
24,24,96,0.5064935064935064
25,25,104,0.5714285714285714
26,26,130,0.53125
27,27,81,0.5849056603773585
28,28,106,0.5217391304347826
29,29,111,0.5686274509803921
30,30,80,0.47368421052631576
31,31,150,0.5058823529411764
32,32,120,0.5
33,33,102,0.4666666666666667
34,34,112,0.6
35,35,117,0.5818181818181818
36,36,67,0.625
37,37,70,0.6428571428571429
38,38,80,0.5772357723577236
39,39,60,0.5813953488372093
40,40,74,0.5909090909090909
41,41,71,0.580952380952381
42,42,61,0.48148148148148145
43,43,73,0.5636363636363636
44,44,91,0.4647887323943662
45,45,91,0.45454545454545453
46,46,92,0.5777777777777777
47,47,83,0.5575221238938053
48,48,62,0.4666666666666667
49,49,100,0.5897435897435898
>>>>>>> Stashed changes
