,no_of_months,no_of_commits,congruences
0,1,185,0.3333333333333333
1,2,30,0.5
2,3,3,1.0
3,4,20,1.0
4,5,53,1.0
5,6,21,1.0
6,7,84,1.0
7,8,72,1.0
8,9,156,1.0
9,10,14,1.0
10,11,36,0.5
11,12,50,1.0
12,13,24,0.5
13,14,12,0.5
14,15,36,1.0
15,16,11,0.5
16,17,31,1.0
17,18,36,1.0
18,19,24,1.0
19,20,30,0.5
20,21,44,0.6666666666666666
21,22,99,0.5
22,23,68,0.5555555555555556
23,24,45,1.0
24,25,22,1.0
25,26,37,0.3333333333333333
26,27,65,0.5
27,28,131,0.5
28,29,56,0.5
29,30,14,0.5
30,31,39,0.44
31,32,30,0.25
32,33,34,0.5
33,34,19,0.5384615384615384
34,35,8,0.3333333333333333
35,36,27,0.5
36,37,15,0.4
37,38,11,0.4782608695652174
38,39,14,0.4
39,40,22,0.3076923076923077
40,41,14,0.5555555555555556
41,42,23,0.375
42,43,10,0.6
43,44,5,0.5555555555555556
44,45,16,0.3333333333333333
45,46,9,0.6
46,47,10,0.4
47,48,32,0.4
48,49,6,1.0
49,50,3,0.6
50,51,15,0.42857142857142855
51,52,19,0.5
52,53,17,0.6
53,54,6,1.0
54,55,14,1.0
55,56,13,1.0
56,57,2,1.0
57,58,14,0.5
58,59,2,1.0
59,60,11,1.0
60,61,20,1.0
61,62,18,1.0
62,63,3,1.0
63,64,2,1.0
64,65,2,1.0
65,66,5,1.0
66,67,11,1.0
67,68,3,1.0
