,no_of_months,no_of_commits,congruences
0,1,432,0.37142857142857144
1,2,34,0.42857142857142855
2,3,33,0.48148148148148145
3,4,28,0.6666666666666666
4,5,98,0.4
5,6,89,0.4782608695652174
6,7,26,0.4117647058823529
7,8,7,1.0
8,9,6,1.0
9,10,4,0.5
10,11,9,1.0
11,12,21,0.5555555555555556
12,13,4,1.0
13,14,4,1.0
14,15,22,0.5862068965517241
15,16,16,1.0
16,17,7,1.0
17,18,145,0.058823529411764705
18,19,67,0.3958333333333333
19,20,84,0.5238095238095238
20,21,112,0.6296296296296297
21,22,40,0.42857142857142855
