,no_of_months,no_of_commits,congruences
0,1,6,0.5
1,2,14,0.3333333333333333
2,3,33,0.5
3,4,22,0.47058823529411764
4,5,17,0.44
5,6,29,0.5
6,7,14,0.3333333333333333
7,8,12,0.25
8,9,8,0.4
9,10,11,0.52
10,11,21,0.3
11,12,16,0.38461538461538464
12,13,23,0.391304347826087
13,14,10,0.38461538461538464
14,15,18,0.5714285714285714
15,16,9,0.625
16,17,8,0.5
17,18,3,1.0
18,19,19,0.625
19,20,18,0.29411764705882354
20,21,10,0.5
21,22,9,0.6
22,23,8,0.5238095238095238
23,24,7,1.0
24,25,3,0.6
25,26,6,0.5
26,27,8,0.6666666666666666
27,28,9,0.5555555555555556
28,29,7,0.5555555555555556
29,30,8,0.6666666666666666
30,31,3,0.6
31,32,5,0.6
32,33,11,0.42857142857142855
33,34,9,0.5
34,35,23,0.5471698113207547
35,36,9,0.5384615384615384
36,37,11,0.5384615384615384
37,38,8,1.0
38,39,3,1.0
39,40,4,1.0
40,41,2,0.5
41,42,0,0.0
