,no_of_months,no_of_commits,congruences
0,1,140,0.2727272727272727
1,2,56,0.47058823529411764
2,3,13,0.45454545454545453
3,4,25,0.29411764705882354
4,5,57,0.42857142857142855
5,6,17,0.3333333333333333
6,7,18,0.5294117647058824
7,8,59,0.3333333333333333
8,9,30,0.36
9,10,13,1.0
10,11,5,1.0
11,12,10,0.3333333333333333
12,13,14,0.45454545454545453
13,14,11,0.6
14,15,14,1.0
15,16,10,0.5
16,17,8,0.3333333333333333
17,18,14,0.36
18,19,5,0.5
19,20,5,0.4
20,21,2,1.0
21,22,3,1.0
22,23,8,0.6
23,24,2,1.0
24,25,2,0.5
25,26,10,1.0
26,27,11,0.5
27,28,5,1.0
