,no_of_months,no_of_commits,congruences
0,1,3,1.0
1,2,6,0.3333333333333333
2,3,21,0.29411764705882354
3,4,22,0.29411764705882354
4,5,26,0.25
5,6,19,0.2
6,7,38,0.25
7,8,26,0.30612244897959184
8,9,23,0.375
9,10,32,0.3333333333333333
10,11,21,0.3877551020408163
11,12,32,0.2839506172839506
12,13,38,0.25
13,14,21,0.2777777777777778
14,15,20,0.391304347826087
15,16,26,0.22448979591836735
16,17,41,0.2777777777777778
17,18,23,0.16666666666666666
18,19,19,0.3125
19,20,3,1.0
20,21,45,0.3125
21,22,22,0.5
22,23,8,0.6
23,24,11,0.5
24,25,8,0.5555555555555556
25,26,6,1.0
26,27,8,0.5
27,28,4,0.5555555555555556
28,29,8,0.6
29,30,8,0.42105263157894735
30,31,18,0.5584415584415584
31,32,5,0.6666666666666666
32,33,4,0.6
33,34,2,0.5
34,35,5,1.0
35,36,3,0.5555555555555556
36,37,2,1.0
37,38,2,1.0
38,39,0,0.0
