,no_of_months,no_of_commits,congruences
0,1,149,1.0
1,2,165,1.0
2,3,115,1.0
3,4,80,1.0
4,5,29,1.0
5,6,84,1.0
6,7,109,1.0
7,8,89,1.0
8,9,176,1.0
9,10,283,1.0
10,11,49,1.0
11,12,21,1.0
12,13,46,1.0
13,14,90,1.0
14,15,153,1.0
15,16,221,1.0
16,17,279,1.0
17,18,342,1.0
18,19,25,1.0
19,20,89,1.0
20,21,206,1.0
21,22,129,1.0
22,23,130,1.0
23,24,233,1.0
24,25,115,1.0
25,26,46,1.0
26,27,42,1.0
27,28,157,1.0
28,29,235,1.0
29,30,154,1.0
30,31,345,1.0
31,32,72,1.0
32,33,15,1.0
33,34,93,1.0
34,35,139,1.0
35,36,143,1.0
36,37,102,1.0
37,38,74,1.0
38,39,187,1.0
39,40,95,1.0
40,41,218,1.0
41,42,170,1.0
42,43,161,1.0
43,44,119,1.0
44,45,54,1.0
45,46,243,1.0
46,47,231,1.0
47,48,163,1.0
48,49,167,1.0
49,50,167,1.0
50,51,164,1.0
51,52,168,1.0
52,53,162,1.0
53,54,106,1.0
54,55,126,1.0
55,56,288,1.0
56,57,209,1.0
57,58,184,1.0
58,59,202,1.0
59,60,238,1.0
60,61,125,1.0
61,62,175,1.0
62,63,225,1.0
63,64,157,1.0
64,65,249,1.0
65,66,148,1.0
66,67,238,1.0
67,68,188,1.0
68,69,148,1.0
69,70,241,1.0
70,71,239,1.0
71,72,238,0.5
72,73,216,1.0
73,74,204,1.0
74,75,286,1.0
75,76,175,1.0
76,77,277,1.0
77,78,268,1.0
78,79,295,1.0
79,80,322,1.0
80,81,310,0.5
81,82,250,0.5
82,83,199,1.0
83,84,589,1.0
84,85,311,1.0
85,86,330,1.0
86,87,136,1.0
87,88,500,1.0
88,89,472,1.0
89,90,511,1.0
90,91,548,1.0
91,92,536,0.5
92,93,515,1.0
93,94,415,1.0
94,95,431,1.0
95,96,594,0.3333333333333333
96,97,523,0.5
97,98,529,1.0
98,99,430,1.0
99,100,491,1.0
100,101,406,0.6129032258064516
101,102,405,0.539568345323741
102,103,317,0.4666666666666667
103,104,221,0.3069306930693069
104,105,180,0.5702479338842975
105,106,344,0.5851851851851851
106,107,326,0.5402298850574713
107,108,314,0.23255813953488372
108,109,390,0.6
109,110,269,0.47058823529411764
110,111,289,0.578125
111,112,182,0.4520547945205479
112,113,358,0.48464619492656874
113,114,465,0.5508637236084453
114,115,314,0.5
115,116,224,0.3543307086614173
116,117,68,0.3465346534653465
117,118,300,0.18518518518518517
118,119,302,0.41414141414141414
119,120,259,0.550561797752809
120,121,167,0.42028985507246375
121,122,284,0.3584905660377358
122,123,567,0.5123042505592841
123,124,462,0.45569620253164556
124,125,415,0.48872180451127817
125,126,229,0.3780487804878049
126,127,421,0.6454545454545455
127,128,280,0.34050179211469533
128,129,221,0.38372093023255816
129,130,195,0.4795539033457249
130,131,197,0.41935483870967744
131,132,177,0.23809523809523808
132,133,148,0.3181818181818182
133,134,190,0.5138121546961326
134,135,133,0.5393939393939394
135,136,117,0.422680412371134
136,137,163,0.4101694915254237
137,138,136,0.43283582089552236
138,139,134,0.15555555555555556
139,140,170,0.4246575342465753
140,141,139,0.2914285714285714
141,142,303,0.43259557344064387
142,143,101,0.3968253968253968
143,144,241,0.33608247422680415
144,145,196,0.4514285714285714
145,146,118,0.3978494623655914
146,147,231,0.37681159420289856
147,148,144,0.44761904761904764
148,149,181,0.36283185840707965
149,150,120,0.4723127035830619
150,151,139,0.5813953488372093
151,152,158,0.2152777777777778
152,153,142,0.45741324921135645
153,154,256,0.3643031784841076
154,155,167,0.3945720250521921
155,156,121,0.35185185185185186
156,157,208,0.3701657458563536
157,158,182,0.5101289134438306
158,159,117,0.6550868486352357
159,160,219,0.5112443778110944
160,161,340,0.45236051502145924
161,162,316,0.5100222717149221
162,163,375,0.34775888717156106
163,164,278,0.5111111111111111
164,165,224,0.40358744394618834
165,166,178,0.4358974358974359
166,167,233,0.3125
167,168,262,0.4097902097902098
168,169,216,0.45194274028629855
169,170,307,0.3292533659730722
170,171,963,0.33791523482245134
171,172,192,0.31794871794871793
172,173,2,1.0
173,174,251,0.2916666666666667
174,175,258,0.347239263803681
175,176,592,0.3576208178438662
176,177,228,0.319672131147541
177,178,164,0.3142857142857143
178,179,311,0.4082163286531461
179,180,321,0.35714285714285715
180,181,2,1.0
181,182,242,0.39886039886039887
182,183,274,0.2648870636550308
183,184,210,0.42402826855123676
184,185,16,0.75
185,186,235,0.32515337423312884
186,187,58,0.5267175572519084
