,no_of_months,no_of_commits,congruences
0,1,27,0.3333333333333333
1,2,13,0.25
2,3,23,0.375
3,4,37,0.2
4,5,43,0.28
5,6,33,0.3333333333333333
6,7,40,0.44
7,8,64,0.28
8,9,59,0.16666666666666666
9,10,37,0.2
10,11,56,0.16666666666666666
11,12,77,0.4117647058823529
12,13,31,0.2777777777777778
13,14,67,0.28125
14,15,71,0.28
15,16,71,0.2
16,17,47,0.2222222222222222
17,18,95,0.2653061224489796
18,19,59,0.25
19,20,55,0.30612244897959184
20,21,65,0.18518518518518517
21,22,55,0.30612244897959184
22,23,29,0.28
23,24,72,0.16666666666666666
24,25,31,0.2222222222222222
25,26,64,0.125
26,27,85,0.1875
27,28,106,0.19111111111111112
28,29,80,0.15862068965517243
29,30,95,0.3247863247863248
30,31,120,0.28719723183391005
31,32,77,0.27058823529411763
32,33,112,0.26345609065155806
33,34,86,0.28
34,35,145,0.1753846153846154
35,36,146,0.16049382716049382
36,37,110,0.2734375
37,38,103,0.32793522267206476
38,39,97,0.37398373983739835
39,40,67,0.15976331360946747
40,41,42,0.5128205128205128
41,42,51,0.34177215189873417
42,43,50,0.2839506172839506
43,44,31,0.40425531914893614
44,45,48,0.3333333333333333
45,46,58,0.13580246913580246
46,47,74,0.20987654320987653
47,48,55,0.2345679012345679
48,49,31,0.40540540540540543
49,50,42,0.2839506172839506
50,51,38,0.3695652173913043
51,52,59,0.2459016393442623
52,53,56,0.46875
53,54,44,0.38095238095238093
54,55,35,0.3125
55,56,76,0.125
56,57,37,0.1875
57,58,46,0.16
58,59,40,0.30864197530864196
59,60,65,0.16049382716049382
60,61,40,0.42857142857142855
61,62,51,0.36363636363636365
62,63,42,0.3488372093023256
63,64,39,0.3548387096774194
64,65,44,0.21212121212121213
65,66,28,0.21428571428571427
66,67,49,0.4603174603174603
67,68,58,0.40476190476190477
68,69,52,0.3442622950819672
69,70,59,0.2
70,71,44,0.4
71,72,47,0.24324324324324326
72,73,37,0.28205128205128205
73,74,39,0.3793103448275862
74,75,46,0.43478260869565216
75,76,46,0.5333333333333333
76,77,66,0.28205128205128205
77,78,96,0.2972972972972973
78,79,69,0.44680851063829785
79,80,62,0.41935483870967744
80,81,30,0.47368421052631576
81,82,13,0.6
82,83,10,1.0
83,84,6,1.0
84,85,18,1.0
85,86,13,0.6
86,87,8,0.5555555555555556
87,88,11,1.0
88,89,20,0.8181818181818182
89,90,34,0.6
90,91,24,0.5
91,92,4,1.0
92,93,6,1.0
93,94,3,1.0
94,95,2,1.0
95,96,3,1.0
96,97,2,1.0
97,98,5,1.0
98,99,3,1.0
99,100,2,1.0
100,101,2,1.0
101,102,2,1.0
102,103,54,0.47368421052631576
103,104,5,1.0
104,105,2,1.0
105,106,2,1.0
