,no_of_months,no_of_commits,congruences
0,1,5,0.5
1,2,25,0.25
2,3,7,1.0
3,4,19,0.3333333333333333
4,5,27,0.28
5,6,26,0.16666666666666666
6,7,23,0.25
7,8,26,0.36
8,9,32,0.44
9,10,15,0.375
10,11,9,0.45454545454545453
11,12,22,0.38461538461538464
12,13,9,0.4
13,14,16,0.4117647058823529
14,15,11,0.42857142857142855
15,16,20,0.28
16,17,3,0.5
17,18,9,0.29411764705882354
18,19,8,0.25
19,20,17,0.1891891891891892
20,21,6,0.6363636363636364
21,22,6,0.6
22,23,9,0.5384615384615384
23,24,8,0.6
24,25,10,0.375
25,26,9,0.3333333333333333
26,27,15,0.25
27,28,15,0.4166666666666667
28,29,9,0.36
29,30,10,0.25
30,31,13,0.29411764705882354
31,32,14,0.4117647058823529
32,33,17,0.3333333333333333
33,34,9,0.4
34,35,19,0.4444444444444444
35,36,8,0.25
36,37,17,0.35135135135135137
37,38,5,0.5
38,39,21,0.6363636363636364
39,40,11,0.36
40,41,7,0.45454545454545453
41,42,7,0.5555555555555556
42,43,8,0.8
43,44,0,0.0
