,no_of_months,no_of_commits,congruences
0,1,649,0.42857142857142855
1,2,238,1.0
2,3,281,0.5
3,4,175,1.0
4,5,164,0.42857142857142855
5,6,8,1.0
6,7,47,1.0
7,8,72,0.6
8,9,39,1.0
9,10,11,1.0
10,11,12,0.6
11,12,143,0.5
12,13,90,0.5555555555555556
13,14,108,0.3333333333333333
14,15,47,0.5
15,16,10,1.0
16,17,21,0.5
17,18,25,0.6666666666666666
18,19,16,0.5
19,20,23,0.5
20,21,7,1.0
21,22,9,0.5
22,23,9,0.5
23,24,29,0.5
24,25,2,1.0
25,26,74,1.0
26,27,4,1.0
27,28,8,0.5
28,29,10,0.5
29,30,18,0.5
30,31,8,1.0
31,32,21,0.5
32,33,2,0.5
33,34,11,0.5
34,35,6,1.0
35,36,55,0.5
36,37,2,1.0
37,38,8,1.0
38,39,7,1.0
39,40,21,1.0
40,41,2,1.0
