,no_of_months,no_of_commits,congruences
0,1,45,0.5
1,2,43,0.5
2,3,24,0.42857142857142855
3,4,5,1.0
4,5,26,0.6
5,6,18,0.5
6,7,25,0.6
7,8,3,0.3333333333333333
8,9,3,1.0
9,10,7,1.0
10,11,18,1.0
11,12,13,0.5
12,13,17,0.5
13,14,23,0.3333333333333333
14,15,11,1.0
15,16,32,1.0
16,17,23,0.5
17,18,29,0.5
18,19,34,0.4
19,20,22,0.6
20,21,33,0.5
21,22,22,0.3333333333333333
22,23,39,0.5555555555555556
23,24,27,0.5555555555555556
24,25,8,1.0
25,26,31,0.5
26,27,27,0.5555555555555556
27,28,2,1.0
28,29,7,0.5555555555555556
29,30,4,1.0
30,31,8,0.4117647058823529
31,32,6,0.5384615384615384
32,33,17,0.5
33,34,2,1.0
34,35,4,0.6
35,36,3,0.6
36,37,11,0.6
37,38,4,0.6
38,39,8,0.5
39,40,4,1.0
40,41,7,0.5555555555555556
41,42,8,0.45454545454545453
42,43,15,0.5
43,44,14,0.5
44,45,5,1.0
45,46,34,0.5
46,47,28,1.0
47,48,14,0.7142857142857143
48,49,11,0.5
49,50,26,0.4666666666666667
50,51,3,1.0
51,52,4,1.0
52,53,15,0.5652173913043478
53,54,14,0.38461538461538464
54,55,16,0.5555555555555556
55,56,2,1.0
