,no_of_months,no_of_commits,congruences
0,1,1,1.0
1,2,6,1.0
2,3,3,0.5
3,4,8,1.0
4,5,10,1.0
5,6,58,0.4375
6,7,78,0.25925925925925924
7,8,84,0.29411764705882354
8,9,23,0.6666666666666666
9,10,16,0.6363636363636364
10,11,6,1.0
11,12,93,0.40939597315436244
12,13,26,1.0
13,14,32,0.4
14,15,128,0.4959349593495935
15,16,64,0.8
16,17,28,1.0
17,18,2,1.0
18,19,32,0.42857142857142855
19,20,3,1.0
20,21,12,1.0
21,22,2,1.0
22,23,3,0.0
23,24,9,1.0
24,25,4,1.0
25,26,2,1.0
26,27,3,1.0
