,no_of_months,no_of_commits,congruences
0,1,1,1.0
1,2,54,0.5
2,3,134,0.5
3,4,69,0.5
4,5,91,0.3333333333333333
5,6,60,0.5
6,7,109,0.6
7,8,87,0.6
8,9,128,1.0
9,10,102,0.5555555555555556
10,11,47,0.3333333333333333
11,12,90,0.42857142857142855
12,13,15,0.6
13,14,20,0.3333333333333333
14,15,15,0.5
15,16,37,0.4117647058823529
16,17,63,0.5555555555555556
17,18,27,0.5384615384615384
18,19,7,1.0
19,20,11,0.6
20,21,18,1.0
21,22,4,1.0
22,23,5,1.0
23,24,76,0.5555555555555556
24,25,27,0.5
25,26,24,1.0
26,27,34,0.6
27,28,23,0.6
28,29,46,0.42857142857142855
29,30,45,0.44
