,no_of_months,no_of_commits,congruences
0,1,1,1.0
1,2,487,0.5717761557177615
2,3,438,0.38071065989847713
3,4,820,0.5429292929292929
4,5,774,0.5477178423236515
5,6,684,0.7351598173515982
6,7,580,0.7002967359050445
7,8,349,0.46938775510204084
8,9,438,0.5632183908045977
9,10,492,0.6402116402116402
10,11,630,0.6047904191616766
11,12,462,0.6190476190476191
12,13,744,0.7177570093457943
13,14,551,0.7247191011235955
14,15,364,0.5934065934065934
15,16,418,0.38095238095238093
16,17,280,0.6347826086956522
17,18,345,0.4358974358974359
18,19,434,0.425
19,20,372,0.5804878048780487
20,21,221,0.7709251101321586
21,22,159,0.4426229508196721
22,23,21,0.8333333333333334
23,24,62,0.5652173913043478
24,25,83,0.45454545454545453
25,26,85,0.48148148148148145
26,27,53,0.589041095890411
27,28,126,0.4975845410628019
28,29,101,0.49333333333333335
29,30,83,0.45
30,31,88,0.4
31,32,57,0.5308641975308642
32,33,78,0.3465346534653465
33,34,44,0.5555555555555556
34,35,104,0.6052631578947368
35,36,96,0.6104868913857678
36,37,38,0.7037037037037037
37,38,46,0.7333333333333333
38,39,59,0.5151515151515151
39,40,48,0.4166666666666667
40,41,67,0.35802469135802467
41,42,66,0.539568345323741
42,43,226,0.4666666666666667
43,44,74,0.4647887323943662
44,45,72,0.5151515151515151
45,46,34,0.6
46,47,35,0.7142857142857143
47,48,73,0.5652173913043478
48,49,6,1.0
49,50,11,0.4
50,51,10,1.0
51,52,7,1.0
52,53,17,1.0
53,54,5,1.0
54,55,8,1.0
