,no_of_months,no_of_commits,congruences
0,1,41,0.16666666666666666
1,2,40,0.3333333333333333
2,3,14,0.3333333333333333
3,4,61,0.2777777777777778
4,5,12,0.6666666666666666
5,6,20,0.3333333333333333
6,7,6,0.6
7,8,14,0.29411764705882354
8,9,6,0.6666666666666666
9,10,16,0.25
10,11,13,0.5
11,12,23,0.3333333333333333
12,13,15,0.5757575757575758
13,14,18,0.45
14,15,17,0.4
15,16,7,0.4
16,17,7,0.6
17,18,9,0.6
18,19,4,0.42857142857142855
19,20,9,0.5
20,21,15,0.3888888888888889
21,22,11,0.375
22,23,9,0.7142857142857143
23,24,8,0.38461538461538464
24,25,8,0.5
25,26,26,0.6
26,27,9,0.5
27,28,7,0.45454545454545453
28,29,12,0.46938775510204084
29,30,0,0.0
