,no_of_months,no_of_commits,congruences
0,1,34,0.42857142857142855
1,2,20,0.4
2,3,5,1.0
3,4,13,0.5555555555555556
4,5,46,0.3939393939393939
5,6,24,0.5
6,7,14,0.6
7,8,30,0.4
8,9,34,0.3333333333333333
9,10,37,0.6
10,11,5,1.0
11,12,24,0.5
12,13,31,0.5
13,14,12,0.6
14,15,35,0.5555555555555556
15,16,9,1.0
16,17,22,0.5
17,18,14,0.5
18,19,12,1.0
19,20,3,1.0
20,21,9,0.6
21,22,74,0.3333333333333333
22,23,39,0.2857142857142857
23,24,28,0.2857142857142857
24,25,13,0.5
25,26,20,0.42857142857142855
26,27,36,0.3333333333333333
27,28,52,0.4
28,29,38,0.5555555555555556
29,30,45,0.3333333333333333
30,31,9,0.42857142857142855
31,32,29,0.6
32,33,81,0.25
33,34,67,0.3333333333333333
34,35,61,0.4
35,36,63,0.25
36,37,32,0.5
37,38,335,0.21428571428571427
38,39,44,0.391304347826087
39,40,30,0.5
40,41,105,0.3888888888888889
41,42,54,0.29411764705882354
42,43,36,0.5
43,44,13,0.5
44,45,13,0.5
45,46,11,1.0
46,47,55,0.2
47,48,51,0.26666666666666666
48,49,23,0.4444444444444444
49,50,57,0.47368421052631576
50,51,99,0.47692307692307695
51,52,49,0.4666666666666667
52,53,43,0.2727272727272727
53,54,62,0.21052631578947367
54,55,43,0.2413793103448276
55,56,54,0.2
56,57,47,0.5348837209302325
57,58,31,0.2857142857142857
58,59,49,0.125
59,60,126,0.17073170731707318
60,61,131,0.21568627450980393
61,62,148,0.29914529914529914
62,63,141,0.26732673267326734
63,64,107,0.2079207920792079
64,65,92,0.4074074074074074
65,66,125,0.2909090909090909
66,67,129,0.3617021276595745
67,68,91,0.2459016393442623
68,69,54,0.3333333333333333
69,70,60,0.34146341463414637
70,71,81,0.25
71,72,63,0.12195121951219512
72,73,90,0.3333333333333333
73,74,96,0.3230769230769231
74,75,84,0.19230769230769232
75,76,86,0.15151515151515152
76,77,65,0.13253012048192772
77,78,43,0.3488372093023256
78,79,79,0.25
79,80,74,0.27450980392156865
80,81,121,0.19402985074626866
81,82,160,0.29577464788732394
82,83,104,0.40229885057471265
83,84,92,0.12941176470588237
84,85,95,0.09836065573770492
85,86,152,0.2361111111111111
86,87,80,0.2826086956521739
87,88,105,0.2897196261682243
88,89,113,0.5128205128205128
89,90,91,0.35294117647058826
90,91,116,0.17142857142857143
91,92,195,0.296
92,93,161,0.25443786982248523
93,94,175,0.29577464788732394
94,95,321,0.07142857142857142
95,96,236,0.12110726643598616
96,97,243,0.3392070484581498
97,98,198,0.08333333333333333
98,99,154,0.3684210526315789
99,100,114,0.2535211267605634
100,101,108,0.3333333333333333
101,102,97,0.38271604938271603
102,103,16732,0.10520833333333333
103,104,295,0.2077001013171226
104,105,261,0.15949367088607594
105,106,278,0.2
106,107,191,0.203125
107,108,157,0.16598079561042525
108,109,113,0.31443298969072164
109,110,125,0.21763085399449036
110,111,157,0.4100418410041841
111,112,196,0.12577319587628866
112,113,170,0.33796296296296297
113,114,109,0.15300546448087432
114,115,203,0.203559510567297
115,116,211,0.11182108626198083
116,117,188,0.03988183161004431
117,118,286,0.19456066945606695
118,119,214,0.05472636815920398
119,120,293,0.14595898673100122
120,121,180,0.3655913978494624
121,122,587,0.3321100917431193
122,123,194,0.3315068493150685
123,124,209,0.2446043165467626
124,125,145,0.2
125,126,112,0.25597269624573377
126,127,115,0.04129793510324484
127,128,184,0.20812182741116753
128,129,242,0.10588235294117647
129,130,206,0.34464285714285714
130,131,162,0.18128654970760233
131,132,173,0.21304347826086956
132,133,122,0.2648870636550308
133,134,160,0.29428571428571426
134,135,160,0.21320495185694635
135,136,116,0.23992994746059546
136,137,132,0.10029498525073746
137,138,201,0.4416575790621592
138,139,74,0.23118279569892472
139,140,117,0.3821138211382114
140,141,2,1.0
141,142,112,0.24054054054054055
142,143,108,0.11642743221690591
143,144,124,0.14760914760914762
144,145,111,0.2598639455782313
145,146,174,0.15333333333333332
146,147,130,0.05187319884726225
147,148,108,0.17708333333333334
148,149,93,0.1767881241565452
149,150,140,0.08902691511387163
150,151,93,0.1840277777777778
151,152,282,0.22336769759450173
152,153,180,0.22453703703703703
153,154,163,0.30064308681672025
154,155,149,0.29418472063854045
155,156,102,0.19626168224299065
156,157,130,0.29979879275653926
157,158,124,0.2907949790794979
158,159,154,0.4261213720316623
159,160,75,0.32571428571428573
160,161,134,0.3995308835027365
161,162,178,0.37372262773722625
162,163,129,0.41196777905638665
163,164,84,0.18952234206471494
164,165,76,0.2457293035479632
165,166,97,0.3105263157894737
166,167,193,0.3274956217162872
167,168,128,0.5595667870036101
168,169,97,0.3333333333333333
169,170,48,0.35609756097560974
170,171,50,0.38197424892703863
171,172,36,0.3103448275862069
172,173,45,0.5205479452054794
173,174,71,0.4644808743169399
174,175,87,0.2549019607843137
175,176,80,0.3877551020408163
176,177,17,0.47058823529411764
