,no_of_months,no_of_commits,congruences
0,1,1103,0.34
1,2,190,0.5
2,3,24,0.5
3,4,5,1.0
4,5,25,0.6
5,6,17,1.0
6,7,13,0.6
7,8,53,0.4117647058823529
8,9,51,0.4
9,10,104,0.3333333333333333
10,11,48,0.2857142857142857
11,12,34,0.6666666666666666
12,13,16,1.0
13,14,27,1.0
14,15,12,0.6666666666666666
15,16,15,0.42857142857142855
16,17,10,1.0
17,18,12,0.7142857142857143
18,19,12,0.6
19,20,15,1.0
20,21,63,0.6666666666666666
21,22,28,1.0
22,23,32,0.6
23,24,8,0.6
24,25,9,1.0
25,26,63,0.5
26,27,128,0.3333333333333333
27,28,115,0.28205128205128205
28,29,42,0.6
29,30,21,0.5555555555555556
30,31,36,0.42857142857142855
31,32,40,0.4666666666666667
32,33,35,0.6
33,34,35,0.6
34,35,32,0.42857142857142855
35,36,36,0.4
36,37,32,0.42857142857142855
37,38,64,0.3333333333333333
38,39,31,0.3333333333333333
39,40,39,0.42857142857142855
40,41,47,0.6
41,42,17,0.42857142857142855
42,43,25,1.0
43,44,19,1.0
44,45,30,0.3333333333333333
45,46,45,0.3333333333333333
46,47,16,0.3333333333333333
47,48,9,1.0
48,49,9,1.0
49,50,20,0.6666666666666666
50,51,53,0.3333333333333333
51,52,13,1.0
52,53,41,0.6
53,54,14,1.0
54,55,13,0.6666666666666666
55,56,33,0.6
56,57,47,0.21428571428571427
57,58,65,0.37254901960784315
58,59,25,0.3333333333333333
59,60,36,0.5
60,61,50,0.5384615384615384
61,62,22,0.6
62,63,29,0.7142857142857143
63,64,23,1.0
64,65,52,0.52
65,66,43,0.3333333333333333
66,67,48,0.35294117647058826
67,68,47,0.28
68,69,56,0.44
69,70,34,0.3333333333333333
70,71,58,0.44
71,72,62,0.23076923076923078
72,73,33,0.5151515151515151
73,74,76,0.3770491803278688
74,75,62,0.4444444444444444
75,76,62,0.3333333333333333
76,77,18,0.75
77,78,42,0.5774647887323944
78,79,31,0.6666666666666666
79,80,62,0.5294117647058824
80,81,66,0.2972972972972973
81,82,27,0.7777777777777778
82,83,45,0.375
83,84,37,0.4838709677419355
84,85,26,0.3333333333333333
85,86,52,0.5362318840579711
86,87,73,0.5625
87,88,56,0.6385542168674698
88,89,66,0.6513761467889908
89,90,74,0.6834532374100719
90,91,93,0.4444444444444444
91,92,32,0.6842105263157895
92,93,13,0.6666666666666666
93,94,14,0.5714285714285714
94,95,2,1.0
95,96,4,0.6666666666666666
96,97,2,0.5
97,98,2,1.0
98,99,11,0.5714285714285714
99,100,18,0.6363636363636364
100,101,33,0.6705882352941176
101,102,13,0.7142857142857143
102,103,8,1.0
103,104,2,1.0
104,105,20,0.6923076923076923
105,106,21,0.52
106,107,37,0.5454545454545454
107,108,43,0.5652173913043478
108,109,10,1.0
109,110,11,0.7777777777777778
110,111,12,0.6
111,112,10,0.45454545454545453
112,113,17,0.6071428571428571
113,114,54,0.5409836065573771
114,115,16,0.6
115,116,2,1.0
116,117,17,0.5555555555555556
117,118,24,0.6666666666666666
118,119,38,0.6082474226804123
119,120,7,0.6
120,121,51,0.6111111111111112
121,122,23,0.7272727272727273
122,123,10,1.0
123,124,12,0.5384615384615384
124,125,11,0.7777777777777778
125,126,8,1.0
126,127,16,0.6666666666666666
127,128,18,0.5555555555555556
128,129,22,0.6666666666666666
129,130,42,0.6
130,131,112,0.5348837209302325
131,132,51,0.5238095238095238
132,133,23,0.4666666666666667
133,134,28,0.7391304347826086
134,135,22,0.8333333333333334
135,136,30,0.5737704918032787
136,137,15,0.7777777777777778
137,138,16,0.5714285714285714
138,139,51,0.6666666666666666
139,140,31,0.5862068965517241
140,141,19,0.8181818181818182
141,142,17,0.5483870967741935
142,143,32,0.7523809523809524
143,144,27,0.5652173913043478
144,145,40,0.6470588235294118
145,146,38,0.4583333333333333
146,147,25,0.75
147,148,11,0.7142857142857143
148,149,22,1.0
149,150,2,1.0
150,151,20,0.6923076923076923
151,152,20,0.7333333333333333
152,153,2,1.0
153,154,13,0.8333333333333334
154,155,13,1.0
155,156,64,0.6333333333333333
156,157,36,0.3448275862068966
157,158,7,0.5
158,159,18,0.8571428571428571
159,160,19,0.7391304347826086
160,161,15,1.0
161,162,41,0.5151515151515151
162,163,26,0.7777777777777778
163,164,12,1.0
164,165,2,1.0
165,166,8,0.5
