,no_of_months,no_of_commits,congruences
0,1,120,0.3333333333333333
1,2,106,0.3333333333333333
2,3,156,0.42857142857142855
3,4,54,0.6
4,5,54,0.3333333333333333
5,6,42,0.4
6,7,17,1.0
7,8,26,1.0
8,9,51,1.0
9,10,19,0.5
10,11,33,0.5
11,12,26,0.5
12,13,67,1.0
13,14,63,0.5555555555555556
14,15,34,1.0
15,16,53,0.42857142857142855
16,17,72,0.3333333333333333
17,18,21,0.5
18,19,63,0.5
19,20,104,0.5
20,21,42,0.5
21,22,13,0.5
22,23,21,1.0
23,24,14,0.42857142857142855
24,25,14,1.0
25,26,2,1.0
26,27,6,1.0
27,28,7,1.0
28,29,10,1.0
29,30,6,1.0
30,31,7,1.0
31,32,20,0.6
32,33,2,1.0
33,34,2,1.0
34,35,30,0.3333333333333333
35,36,10,0.5555555555555556
36,37,3,1.0
37,38,14,0.5
38,39,14,0.5
39,40,7,0.5
40,41,2,1.0
41,42,2,1.0
42,43,39,1.0
43,44,5,1.0
44,45,2,1.0
45,46,8,1.0
46,47,8,1.0
47,48,2,1.0
48,49,2,1.0
49,50,2,1.0
50,51,3,0.6
