,no_of_months,no_of_commits,congruences
0,1,94,0.25
1,2,101,0.2
2,3,110,0.29411764705882354
3,4,151,0.25
4,5,136,0.3888888888888889
5,6,147,0.16666666666666666
6,7,76,0.38461538461538464
7,8,96,0.28
8,9,61,0.29411764705882354
9,10,68,0.45454545454545453
10,11,29,0.391304347826087
11,12,40,0.5714285714285714
12,13,51,0.5555555555555556
13,14,95,0.28205128205128205
14,15,47,0.32
15,16,103,0.32
16,17,183,0.3333333333333333
17,18,221,0.2112676056338028
18,19,237,0.3888888888888889
19,20,254,0.3333333333333333
20,21,233,0.3411764705882353
21,22,79,0.5789473684210527
22,23,116,0.5643564356435643
23,24,43,0.4074074074074074
24,25,140,0.3617021276595745
25,26,129,0.5161290322580645
26,27,246,0.5043478260869565
27,28,383,0.4334470989761092
28,29,280,0.5070422535211268
29,30,301,0.2289156626506024
30,31,268,0.3111111111111111
31,32,350,0.5072463768115942
32,33,267,0.4945054945054945
33,34,250,0.38235294117647056
34,35,212,0.4647887323943662
35,36,2,1.0
36,37,159,0.38461538461538464
37,38,113,0.42105263157894735
38,39,199,0.2727272727272727
39,40,161,0.30434782608695654
40,41,178,0.30612244897959184
41,42,144,0.5
42,43,141,0.6448598130841121
43,44,125,0.5555555555555556
44,45,86,0.5
45,46,152,0.5035460992907801
46,47,216,0.5892857142857143
47,48,189,0.36
48,49,74,0.40540540540540543
49,50,40,0.5238095238095238
50,51,93,0.36
51,52,76,0.3684210526315789
52,53,47,0.6
53,54,41,0.391304347826087
54,55,80,0.4117647058823529
55,56,74,0.5238095238095238
56,57,33,0.5555555555555556
57,58,37,0.7777777777777778
58,59,54,0.5
59,60,61,0.375
60,61,84,0.6521739130434783
61,62,98,0.5121951219512195
62,63,106,0.4594594594594595
63,64,86,0.5094339622641509
64,65,43,0.8333333333333334
65,66,26,0.4444444444444444
66,67,20,1.0
67,68,45,0.6666666666666666
68,69,36,0.5294117647058824
69,70,35,0.52
70,71,30,0.6
71,72,24,0.5111111111111111
72,73,57,0.42105263157894735
73,74,60,0.5483870967741935
74,75,17,0.5555555555555556
75,76,20,0.29411764705882354
76,77,35,0.6
77,78,28,0.5384615384615384
78,79,5,0.6
79,80,25,0.4146341463414634
80,81,29,0.6923076923076923
81,82,73,0.3076923076923077
82,83,62,0.45454545454545453
83,84,62,0.53125
84,85,76,0.28888888888888886
85,86,31,0.55
86,87,36,0.3157894736842105
87,88,26,0.5714285714285714
88,89,44,0.38271604938271603
89,90,77,0.2857142857142857
90,91,50,0.5308641975308642
91,92,46,0.5064935064935064
92,93,57,0.23076923076923078
93,94,52,0.3076923076923077
94,95,78,0.47058823529411764
95,96,54,0.37142857142857144
96,97,67,0.6086956521739131
97,98,29,0.4634146341463415
98,99,81,0.5357142857142857
99,100,55,0.37777777777777777
100,101,72,0.5151515151515151
101,102,44,0.44
102,103,21,0.7777777777777778
103,104,32,0.6229508196721312
104,105,10,0.6666666666666666
105,106,44,0.5675675675675675
106,107,48,0.5111111111111111
107,108,48,0.4634146341463415
108,109,34,0.5681818181818182
109,110,3,1.0
110,111,23,0.5294117647058824
111,112,38,0.6551724137931034
112,113,44,0.5294117647058824
113,114,31,0.5555555555555556
114,115,40,0.5
115,116,51,0.3333333333333333
116,117,40,0.8181818181818182
117,118,46,0.5189873417721519
118,119,41,0.5652173913043478
119,120,15,0.4117647058823529
120,121,44,0.5733333333333334
121,122,38,0.5789473684210527
122,123,20,0.44
123,124,21,0.7142857142857143
124,125,26,0.6
125,126,28,0.5263157894736842
126,127,20,0.4358974358974359
127,128,16,0.5409836065573771
