,no_of_months,no_of_commits,congruences
0,1,3,1.0
1,2,39,1.0
2,3,7,1.0
3,4,34,0.5
4,5,23,1.0
5,6,37,0.25
6,7,7,0.5
7,8,17,0.3333333333333333
8,9,25,0.5
9,10,43,0.5
10,11,5,0.5
11,12,9,1.0
12,13,9,1.0
13,14,9,0.3333333333333333
14,15,15,0.5
15,16,11,0.5
16,17,31,0.6
17,18,43,0.4
18,19,32,0.3333333333333333
19,20,227,0.3333333333333333
20,21,6,0.5
21,22,27,1.0
22,23,18,0.5555555555555556
23,24,27,0.5
24,25,20,1.0
25,26,3,0.6
26,27,2,1.0
27,28,58,0.3333333333333333
28,29,49,0.5555555555555556
29,30,14,0.3333333333333333
30,31,78,0.3333333333333333
31,32,57,0.3333333333333333
32,33,6,0.5
33,34,14,0.6
34,35,7,1.0
35,36,20,1.0
36,37,49,0.6
37,38,20,0.5
38,39,26,0.5
39,40,39,0.42857142857142855
40,41,51,0.5
41,42,54,0.25
42,43,69,0.375
43,44,35,0.5
44,45,2,1.0
45,46,8,1.0
46,47,48,0.5
47,48,27,0.3333333333333333
48,49,4,1.0
49,50,2,1.0
50,51,10,1.0
51,52,5,1.0
52,53,2,1.0
53,54,3,1.0
54,55,11,1.0
55,56,10,1.0
56,57,2,0.5
57,58,56,1.0
58,59,28,0.3333333333333333
59,60,10,1.0
