,no_of_months,no_of_commits,congruences
0,1,56,0.375
1,2,99,0.5555555555555556
2,3,59,0.3333333333333333
3,4,133,0.3333333333333333
4,5,102,0.3333333333333333
5,6,89,0.36
6,7,104,0.4444444444444444
7,8,119,0.3488372093023256
8,9,113,0.5135135135135135
9,10,151,0.5343915343915344
10,11,206,0.4384858044164038
11,12,224,0.3554817275747508
12,13,219,0.4465195246179966
13,14,332,0.5290102389078498
14,15,206,0.41274238227146814
15,16,135,0.32142857142857145
16,17,179,0.6850220264317181
17,18,183,0.44206008583690987
18,19,244,0.6791808873720137
19,20,132,0.5724743777452416
20,21,102,0.5157894736842106
21,22,78,0.6262626262626263
22,23,66,0.6908396946564885
23,24,64,0.1638418079096045
24,25,35,0.6764705882352942
25,26,61,0.3722627737226277
26,27,95,0.501779359430605
27,28,26,0.3763440860215054
28,29,74,0.4490566037735849
29,30,58,0.5637860082304527
30,31,75,0.4099616858237548
31,32,50,0.417910447761194
32,33,48,0.5645756457564576
33,34,50,0.4358974358974359
34,35,51,0.4411764705882353
35,36,50,0.46774193548387094
36,37,53,0.3611111111111111
37,38,86,0.7883283877349159
38,39,66,0.6760925449871465
39,40,67,0.68
40,41,67,0.42560553633217996
41,42,76,0.5737704918032787
42,43,86,0.5497237569060773
43,44,87,0.5633802816901409
44,45,119,0.7356435643564356
45,46,157,0.6280661722760981
46,47,112,0.5750798722044729
47,48,62,0.7384196185286104
48,49,123,0.707455890722823
49,50,101,0.6156648451730419
50,51,124,0.475
51,52,122,0.6423751686909581
52,53,85,0.5992366412213741
53,54,134,0.6764705882352942
54,55,116,0.78409825468649
55,56,153,0.6544378698224852
56,57,137,0.6659364731653888
57,58,139,0.7173100871731009
58,59,77,0.7052631578947368
59,60,123,0.6313617606602476
60,61,131,0.7210776545166403
61,62,199,0.7042062415196744
62,63,221,0.6626506024096386
63,64,156,0.8263229308005428
64,65,167,0.5670840787119857
65,66,184,0.7481162540365985
66,67,252,0.716
67,68,180,0.8262806236080178
68,69,241,0.7010148321623731
69,70,274,0.6880131362889984
70,71,214,0.6145038167938931
71,72,182,0.7223140495867768
72,73,293,0.689484827099506
73,74,245,0.7317757009345794
74,75,298,0.7434782608695653
75,76,267,0.7484559236384054
76,77,371,0.7883597883597884
77,78,447,0.7371849334466157
78,79,321,0.6521155137676293
79,80,263,0.7907949790794979
80,81,219,0.7604863221884498
81,82,254,0.7189751801441153
82,83,246,0.6992248062015504
83,84,187,0.8074074074074075
84,85,239,0.7205308352849337
85,86,248,0.8763204225352113
86,87,246,0.54858934169279
87,88,259,0.6666666666666666
88,89,340,0.6785851595540177
89,90,270,0.7544357700496807
90,91,97,0.5973154362416108
