,no_of_months,no_of_commits,congruences
0,1,24,0.375
1,2,131,0.25
2,3,58,0.25
3,4,82,0.25
4,5,20,0.5
5,6,148,0.14285714285714285
6,7,260,0.2653061224489796
7,8,66,0.125
8,9,58,0.25
9,10,110,0.25
10,11,89,0.25
11,12,4,1.0
12,13,79,0.5
13,14,253,0.16666666666666666
14,15,140,0.125
15,16,145,0.1111111111111111
16,17,238,0.1111111111111111
17,18,157,0.125
18,19,217,0.3225806451612903
19,20,236,0.3828125
20,21,274,0.2988505747126437
21,22,308,0.3522727272727273
22,23,227,0.26582278481012656
23,24,282,0.4504792332268371
24,25,316,0.39204545454545453
25,26,218,0.3856655290102389
26,27,303,0.34265734265734266
27,28,427,0.42
28,29,388,0.3740053050397878
29,30,284,0.36961451247165533
30,31,336,0.3917525773195876
31,32,343,0.436241610738255
32,33,311,0.3856812933025404
33,34,375,0.3333333333333333
34,35,450,0.40514469453376206
35,36,448,0.38144329896907214
36,37,446,0.47880299251870323
37,38,356,0.3314840499306519
38,39,400,0.39272271016311167
39,40,471,0.37695590327169276
40,41,462,0.44358974358974357
41,42,375,0.38769230769230767
42,43,599,0.3834254143646409
43,44,705,0.2903225806451613
44,45,560,0.370913190529876
45,46,289,0.3661417322834646
46,47,284,0.42990654205607476
47,48,313,0.4127310061601643
48,49,278,0.5065616797900262
49,50,454,0.3902053712480253
50,51,409,0.47805456702253857
51,52,306,0.4322820037105751
52,53,327,0.4428969359331476
53,54,294,0.5345666991236612
54,55,378,0.48136882129277564
55,56,387,0.5291828793774319
56,57,438,0.554601226993865
57,58,521,0.395955642530985
58,59,444,0.4743202416918429
59,60,408,0.5315589353612167
60,61,191,0.5043936731107206
61,62,208,0.500990099009901
62,63,250,0.5609756097560976
63,64,314,0.5213163799551234
64,65,251,0.5071972904318375
65,66,402,0.49608763693270735
66,67,437,0.4852686308492201
67,68,374,0.4724689165186501
68,69,399,0.6
69,70,313,0.5692921236291126
70,71,204,0.5729442970822282
71,72,168,0.6261343012704175
72,73,138,0.6707818930041153
73,74,172,0.615686274509804
74,75,181,0.5010752688172043
75,76,240,0.6385542168674698
76,77,128,0.5378486055776892
77,78,83,0.5025906735751295
78,79,243,0.5745454545454546
79,80,157,0.5477707006369427
80,81,209,0.5876288659793815
81,82,298,0.5559502664298401
82,83,257,0.37360178970917224
83,84,265,0.5561797752808989
84,85,198,0.5490196078431373
85,86,147,0.48148148148148145
86,87,136,0.512396694214876
87,88,103,0.59375
88,89,3,1.0
89,90,3,0.5
90,91,3,1.0
91,92,4,0.5
92,93,4,0.3333333333333333
93,94,3,1.0
94,95,94,0.5764705882352941
95,96,103,0.5683453237410072
96,97,84,0.43283582089552236
97,98,42,0.5172413793103449
98,99,29,0.5555555555555556
99,100,8,0.8
100,101,5,1.0
101,102,5,0.6
102,103,9,0.6
103,104,5,1.0
104,105,4,1.0
105,106,4,1.0
106,107,3,1.0
