,no_of_months,no_of_commits,congruences
0,1,19,1.0
1,2,111,0.5
2,3,156,0.36
3,4,98,0.43119266055045874
4,5,87,0.4230769230769231
5,6,101,0.6036036036036037
6,7,59,0.38028169014084506
7,8,73,0.7751479289940828
8,9,41,0.5
9,10,56,0.4411764705882353
10,11,30,0.4153846153846154
11,12,63,0.5254237288135594
12,13,73,0.5
13,14,41,0.40540540540540543
14,15,48,0.5398230088495575
15,16,57,0.6317280453257791
16,17,73,0.43356643356643354
17,18,37,0.546875
18,19,66,0.47643979057591623
19,20,114,0.5925925925925926
20,21,120,0.5037974683544304
21,22,88,0.6708860759493671
22,23,134,0.740983606557377
23,24,107,0.663768115942029
24,25,96,0.5873015873015873
25,26,98,0.5086206896551724
26,27,70,0.5555555555555556
27,28,72,0.6651982378854625
28,29,84,0.5
29,30,89,0.5523809523809524
30,31,79,0.4794520547945205
31,32,60,0.5374149659863946
32,33,90,0.5958188153310104
33,34,71,0.5221238938053098
