,no_of_months,no_of_commits,congruences
0,1,72,0.5373134328358209
1,2,79,0.5980392156862745
2,3,102,0.8179271708683473
3,4,147,0.6776750330250991
4,5,54,0.5454545454545454
5,6,45,0.6144578313253012
6,7,106,0.5723270440251572
7,8,78,0.5080906148867314
8,9,91,0.5862068965517241
9,10,179,0.545
10,11,71,0.7404580152671756
11,12,65,0.4634146341463415
12,13,69,0.4608695652173913
13,14,84,0.43859649122807015
14,15,49,0.42857142857142855
15,16,105,0.46774193548387094
16,17,192,0.4564102564102564
17,18,490,0.3737528779739064
18,19,322,0.51440329218107
19,20,252,0.41312741312741313
20,21,431,0.5973377703826955
21,22,224,0.5148514851485149
22,23,355,0.47596153846153844
23,24,328,0.5561056105610561
24,25,312,0.5434782608695652
25,26,363,0.43313373253493015
26,27,560,0.48265609514370666
27,28,542,0.5617760617760618
28,29,265,0.5241935483870968
29,30,349,0.5095137420718816
30,31,503,0.5192069392812887
31,32,461,0.4270032930845225
32,33,649,0.5706447187928669
33,34,989,0.5984807379272925
34,35,375,0.4053156146179402
35,36,324,0.2832080200501253
36,37,255,0.5344827586206896
37,38,72,0.5529411764705883
38,39,8,1.0
39,40,380,0.6063829787234043
40,41,121,0.24324324324324326
41,42,334,0.4980544747081712
42,43,373,0.49144811858608894
43,44,453,0.4174757281553398
44,45,275,0.30376940133037694
45,46,577,0.6477647764776477
46,47,390,0.5405405405405406
47,48,557,0.4801980198019802
48,49,604,0.5659722222222222
49,50,579,0.5235876528829354
50,51,792,0.6492434662998624
51,52,461,0.5674518201284796
52,53,412,0.5066921606118547
53,54,460,0.5337124289195776
54,55,1538,0.6619224874096781
55,56,519,0.6162862430598396
56,57,373,0.4725908828620889
57,58,362,0.737669376693767
58,59,643,0.493576017130621
59,60,347,0.5004336513443192
60,61,419,0.5182389937106918
61,62,454,0.5718157181571816
62,63,421,0.5807365439093485
63,64,355,0.4865293185419968
64,65,323,0.7576345128453709
65,66,401,0.47572815533980584
66,67,364,0.6340996168582376
67,68,343,0.6635911994322214
68,69,793,0.5921680993314231
69,70,425,0.6860546601261388
70,71,352,0.7377049180327869
71,72,391,0.6882168925964547
72,73,418,0.5400111919418019
73,74,491,0.5859938208032955
74,75,386,0.48701973001038423
75,76,468,0.6073937153419593
76,77,318,0.6493288590604027
77,78,533,0.7446436379536511
78,79,454,0.6143194866599122
79,80,352,0.5541871921182266
80,81,403,0.5128449096098954
81,82,332,0.7121848739495799
82,83,324,0.5153153153153153
83,84,220,0.6091644204851752
84,85,356,0.4242709313264346
85,86,498,0.5368983957219251
86,87,412,0.5389105058365758
87,88,396,0.5619930475086906
88,89,227,0.5491071428571429
89,90,234,0.5566037735849056
90,91,189,0.5460526315789473
91,92,211,0.6477832512315271
92,93,272,0.6095717884130982
93,94,266,0.6749435665914221
94,95,322,0.6612377850162866
95,96,91,0.6816326530612244
