,no_of_months,no_of_commits,congruences
0,1,12,0.3333333333333333
1,2,78,0.38461538461538464
2,3,11,0.3333333333333333
3,4,98,0.3333333333333333
4,5,15,0.4
5,6,18,0.5
6,7,23,0.42857142857142855
7,8,22,0.6
8,9,34,0.5
9,10,52,0.3333333333333333
10,11,34,0.6
11,12,51,0.5
12,13,9,0.42857142857142855
13,14,12,0.6666666666666666
14,15,16,0.4
15,16,32,0.29411764705882354
16,17,43,0.5
17,18,9,1.0
18,19,14,0.3333333333333333
19,20,58,0.47368421052631576
20,21,69,0.5428571428571428
21,22,22,0.6666666666666666
22,23,13,0.5833333333333334
23,24,9,0.6666666666666666
24,25,28,0.5333333333333333
25,26,40,0.28
26,27,16,0.4
27,28,6,0.6
28,29,11,0.5714285714285714
29,30,19,0.7142857142857143
30,31,27,0.5714285714285714
31,32,18,0.7142857142857143
32,33,25,0.4594594594594595
33,34,29,0.38461538461538464
34,35,2,1.0
35,36,12,1.0
36,37,29,0.4782608695652174
37,38,30,0.3548387096774194
38,39,24,0.5
39,40,24,0.5324675324675324
40,41,23,0.4666666666666667
41,42,57,0.3333333333333333
42,43,54,0.5789473684210527
43,44,53,0.5231788079470199
44,45,52,0.35947712418300654
45,46,24,0.4166666666666667
46,47,11,0.6666666666666666
47,48,33,0.5
48,49,43,0.4603174603174603
49,50,41,0.3548387096774194
50,51,16,0.3888888888888889
51,52,3,1.0
52,53,39,0.2682926829268293
53,54,29,0.3103448275862069
54,55,65,0.46153846153846156
55,56,25,0.5161290322580645
56,57,21,0.5416666666666666
57,58,27,0.41935483870967744
58,59,29,0.603448275862069
59,60,11,0.4166666666666667
60,61,8,0.75
61,62,19,0.5555555555555556
62,63,33,0.4956521739130435
63,64,39,0.5157894736842106
64,65,37,0.20754716981132076
65,66,2,1.0
66,67,21,0.5454545454545454
67,68,3,0.6
68,69,18,0.47058823529411764
69,70,140,0.5146198830409356
70,71,8,1.0
71,72,25,0.4
72,73,29,0.40540540540540543
73,74,28,0.4117647058823529
74,75,11,0.5
75,76,14,0.6
76,77,2,1.0
77,78,8,1.0
78,79,25,0.5
79,80,17,0.38461538461538464
80,81,11,0.5
81,82,2,1.0
82,83,2,0.5
83,84,12,0.7142857142857143
84,85,4,1.0
85,86,9,0.6
86,87,14,1.0
87,88,9,0.6666666666666666
88,89,15,0.4
89,90,9,0.6
90,91,11,0.6
91,92,25,0.375
92,93,20,0.3333333333333333
93,94,38,0.6
94,95,9,0.6
95,96,9,1.0
96,97,3,1.0
97,98,2,0.5
98,99,4,0.6666666666666666
99,100,6,0.45454545454545453
100,101,4,0.5
101,102,19,0.5
102,103,24,0.2413793103448276
103,104,11,1.0
104,105,10,1.0
105,106,6,0.42857142857142855
106,107,11,0.3333333333333333
107,108,24,0.375
108,109,12,1.0
109,110,19,0.5
110,111,11,1.0
111,112,24,0.2857142857142857
112,113,19,0.5555555555555556
113,114,8,0.6
114,115,8,0.6
115,116,13,0.5384615384615384
116,117,18,0.5
117,118,8,1.0
118,119,13,0.6
119,120,8,1.0
120,121,0,0.0
