,no_of_months,no_of_commits,congruences
0,1,4,1.0
1,2,4,0.5
2,3,5,0.5555555555555556
3,4,15,0.3333333333333333
4,5,16,0.3333333333333333
5,6,45,0.3333333333333333
6,7,7,1.0
7,8,15,0.5
8,9,16,0.3333333333333333
9,10,24,0.3333333333333333
10,11,22,0.3333333333333333
11,12,27,0.3333333333333333
12,13,17,0.5
13,14,15,0.3333333333333333
14,15,32,0.5
15,16,18,0.5
16,17,21,0.3333333333333333
17,18,34,0.3333333333333333
18,19,44,0.3333333333333333
19,20,22,0.3333333333333333
20,21,12,0.25
21,22,14,0.5
22,23,7,0.5
23,24,12,0.3333333333333333
24,25,13,0.3333333333333333
25,26,7,1.0
26,27,7,0.5
27,28,15,0.5
28,29,6,0.5
29,30,14,0.3333333333333333
30,31,8,0.3333333333333333
31,32,6,0.5
32,33,8,0.3333333333333333
33,34,11,0.5
34,35,10,0.3333333333333333
35,36,18,0.3333333333333333
36,37,3,1.0
37,38,17,0.3333333333333333
38,39,4,0.5
39,40,9,1.0
40,41,8,1.0
41,42,5,1.0
42,43,4,0.5
43,44,3,1.0
44,45,7,1.0
45,46,10,0.6666666666666666
46,47,12,0.375
47,48,18,0.47368421052631576
48,49,8,0.3333333333333333
49,50,10,0.5
50,51,11,0.5555555555555556
51,52,4,1.0
52,53,10,0.625
53,54,11,0.8181818181818182
54,55,78,0.5929203539823009
55,56,12,0.5
56,57,27,0.47368421052631576
57,58,26,0.5555555555555556
58,59,38,0.4915254237288136
59,60,41,0.5180722891566265
60,61,81,0.4591194968553459
61,62,32,0.4117647058823529
62,63,53,0.5445544554455446
63,64,44,0.4782608695652174
64,65,89,0.4008438818565401
65,66,187,0.42391304347826086
66,67,119,0.5319148936170213
67,68,63,0.3023255813953488
68,69,51,0.5172413793103449
69,70,43,0.52
70,71,73,0.3939393939393939
71,72,30,0.6666666666666666
72,73,49,0.4430379746835443
73,74,56,0.3584905660377358
74,75,25,0.4117647058823529
75,76,53,0.3333333333333333
76,77,30,0.4375
77,78,25,0.4864864864864865
78,79,22,0.5714285714285714
79,80,32,0.7777777777777778
80,81,27,0.5909090909090909
81,82,16,0.6666666666666666
82,83,10,0.7142857142857143
83,84,13,0.7777777777777778
84,85,5,0.4
85,86,13,0.75
86,87,15,0.8
87,88,6,1.0
88,89,18,0.5294117647058824
89,90,19,0.7142857142857143
90,91,21,0.40540540540540543
91,92,17,0.4782608695652174
92,93,9,0.6
93,94,13,0.8
94,95,9,0.2903225806451613
95,96,28,0.5
96,97,25,0.6470588235294118
97,98,14,0.4444444444444444
98,99,29,0.6153846153846154
99,100,17,0.5
100,101,30,0.5
101,102,22,0.6190476190476191
102,103,8,0.7142857142857143
103,104,11,0.6363636363636364
104,105,14,0.6666666666666666
105,106,30,0.4838709677419355
106,107,24,0.5238095238095238
107,108,5,0.6
