,no_of_months,no_of_commits,congruences
0,1,10,0.5
1,2,26,1.0
2,3,51,0.6
3,4,77,0.5555555555555556
4,5,77,0.3333333333333333
5,6,46,0.6
6,7,38,0.4
7,8,39,0.5
8,9,73,0.3333333333333333
9,10,93,0.3333333333333333
10,11,171,0.375
11,12,39,0.6
12,13,4,0.5
13,14,15,0.5
14,15,104,0.5
15,16,44,0.5
16,17,32,0.5
17,18,72,0.3333333333333333
18,19,178,0.3333333333333333
19,20,38,0.3333333333333333
20,21,50,0.4
21,22,76,0.6
22,23,70,0.5
23,24,34,1.0
24,25,36,1.0
25,26,124,0.3333333333333333
26,27,88,0.3333333333333333
27,28,58,0.3333333333333333
28,29,66,0.5
29,30,106,0.5
30,31,58,0.5
31,32,52,0.5
32,33,136,0.5
33,34,74,0.6
34,35,80,0.42857142857142855
35,36,2,1.0
36,37,22,1.0
37,38,22,0.5
38,39,14,1.0
39,40,14,0.6
40,41,52,0.3333333333333333
41,42,94,0.3333333333333333
42,43,20,0.3333333333333333
43,44,8,1.0
44,45,50,0.5
45,46,32,0.3333333333333333
46,47,6,1.0
47,48,8,1.0
48,49,85,0.5
49,50,34,0.5
50,51,13,0.5555555555555556
51,52,3,1.0
52,53,250,1.0
53,54,114,0.5
54,55,54,1.0
55,56,32,0.5
56,57,48,0.5
57,58,26,0.5
58,59,82,1.0
59,60,60,0.5
60,61,8,1.0
61,62,203,0.5
62,63,86,1.0
63,64,5,0.5
64,65,4,1.0
65,66,4,1.0
66,67,7,1.0
67,68,51,1.0
68,69,41,1.0
69,70,34,0.6666666666666666
70,71,18,0.5
71,72,7,1.0
72,73,19,1.0
73,74,18,1.0
74,75,10,1.0
75,76,15,1.0
76,77,2,1.0
77,78,13,1.0
78,79,3,1.0
79,80,12,1.0
80,81,6,1.0
81,82,17,0.5
82,83,8,0.5
83,84,40,0.5
84,85,2,1.0
85,86,53,1.0
86,87,13,1.0
87,88,7,1.0
88,89,24,0.5
89,90,14,0.5
90,91,4,1.0
91,92,8,1.0
92,93,10,1.0
93,94,8,1.0
94,95,9,1.0
95,96,4,1.0
96,97,13,1.0
97,98,6,1.0
98,99,4,1.0
99,100,31,0.5
100,101,4,1.0
101,102,20,0.5
102,103,24,0.6
103,104,9,1.0
104,105,5,1.0
105,106,2,1.0
