,no_of_months,no_of_commits,congruences
0,1,43,0.5238095238095238
1,2,12,1.0
2,3,33,1.0
3,4,24,0.5
4,5,16,1.0
5,6,25,0.5
6,7,25,1.0
7,8,10,1.0
8,9,46,1.0
9,10,37,0.6
10,11,36,1.0
11,12,59,0.5
12,13,57,0.6
13,14,55,0.6
14,15,22,0.5
15,16,53,0.5
16,17,44,0.6
17,18,56,0.5384615384615384
18,19,29,0.6
19,20,93,0.5
20,21,75,0.5652173913043478
21,22,84,0.5844155844155844
22,23,100,0.38271604938271603
23,24,43,0.4666666666666667
24,25,53,0.45454545454545453
25,26,27,0.5555555555555556
26,27,55,0.6326530612244898
27,28,38,0.4782608695652174
28,29,31,0.36
29,30,40,0.5510204081632653
30,31,56,0.4482758620689655
31,32,35,0.6190476190476191
32,33,2,1.0
33,34,21,0.6
34,35,19,1.0
35,36,48,0.5
36,37,39,0.3333333333333333
37,38,41,0.52
38,39,24,0.4594594594594595
39,40,35,0.5882352941176471
40,41,49,0.4230769230769231
41,42,39,0.47058823529411764
42,43,49,0.44
43,44,37,0.5111111111111111
44,45,25,0.5172413793103449
45,46,3,1.0
46,47,3,1.0
47,48,28,0.6666666666666666
48,49,27,0.4117647058823529
49,50,72,0.6140350877192983
50,51,25,0.6
51,52,44,0.4827586206896552
52,53,63,0.5887850467289719
53,54,19,0.36363636363636365
54,55,21,0.6
55,56,29,0.6078431372549019
56,57,61,0.3235294117647059
57,58,24,0.4358974358974359
58,59,9,0.6363636363636364
59,60,28,0.5454545454545454
60,61,50,0.7037037037037037
61,62,49,0.6243654822335025
62,63,42,0.5961538461538461
63,64,48,0.44086021505376344
64,65,34,0.5368421052631579
65,66,36,0.6825396825396826
66,67,29,0.5737704918032787
67,68,33,0.514792899408284
68,69,29,0.5833333333333334
69,70,21,0.7215189873417721
70,71,37,0.42857142857142855
71,72,25,0.38095238095238093
72,73,20,0.52
73,74,38,0.5319148936170213
74,75,29,0.4666666666666667
75,76,27,0.6486486486486487
76,77,26,0.6170212765957447
77,78,47,0.7511111111111111
78,79,30,0.5238095238095238
79,80,57,0.47540983606557374
80,81,2,1.0
81,82,66,0.6363636363636364
82,83,20,0.35135135135135137
83,84,48,0.6303797468354431
84,85,2,1.0
85,86,39,0.4461538461538462
86,87,2,1.0
87,88,2,1.0
88,89,23,0.4838709677419355
89,90,52,0.552870090634441
90,91,56,0.6108597285067874
91,92,2,1.0
92,93,36,0.5310344827586206
93,94,47,0.6170212765957447
94,95,43,0.6356275303643725
95,96,50,0.5540540540540541
96,97,3,1.0
97,98,2,1.0
98,99,64,0.611764705882353
99,100,43,0.6943231441048034
100,101,45,0.5
101,102,76,0.5682819383259912
102,103,81,0.659942363112392
103,104,84,0.6109839816933639
104,105,19,0.6
105,106,45,0.4782608695652174
106,107,51,0.48
107,108,62,0.751412429378531
108,109,53,0.6071428571428571
109,110,60,0.6135265700483091
110,111,52,0.5849056603773585
111,112,49,0.7142857142857143
112,113,52,0.6241610738255033
113,114,89,0.6914285714285714
114,115,46,0.47368421052631576
115,116,35,0.6944444444444444
116,117,16,0.6470588235294118
117,118,19,0.45
118,119,29,0.5774647887323944
119,120,16,0.6666666666666666
120,121,16,0.6923076923076923
121,122,9,0.5294117647058824
122,123,23,0.5652173913043478
123,124,18,0.45
124,125,4,0.6
125,126,13,0.44
126,127,5,1.0
127,128,75,0.5898876404494382
128,129,18,0.38095238095238093
129,130,2,1.0
130,131,3,1.0
131,132,4,1.0
