,no_of_months,no_of_commits,congruences
0,1,9,1.0
1,2,3,1.0
2,3,25,1.0
3,4,14,1.0
4,5,15,1.0
5,6,7,1.0
6,7,4,1.0
7,8,13,1.0
8,9,7,1.0
9,10,4,1.0
10,11,5,1.0
11,12,6,0.5
12,13,6,1.0
13,14,10,0.5
14,15,5,1.0
15,16,5,0.5
16,17,19,0.5
17,18,5,1.0
18,19,2,1.0
19,20,6,0.5
20,21,9,0.5
21,22,13,0.5
22,23,25,0.5
23,24,22,0.5
24,25,18,1.0
25,26,2,1.0
26,27,2,1.0
27,28,39,0.25
28,29,17,0.3333333333333333
29,30,29,0.6
30,31,38,0.3333333333333333
31,32,19,0.42857142857142855
32,33,56,0.5
33,34,35,0.5
34,35,33,0.5
35,36,19,0.3333333333333333
36,37,15,0.5
37,38,7,0.5
38,39,51,0.5
39,40,34,0.5
40,41,29,0.5
41,42,117,0.3333333333333333
42,43,135,0.5
43,44,43,0.5
44,45,97,0.5
45,46,41,0.5
46,47,17,1.0
47,48,4,1.0
48,49,27,0.5555555555555556
49,50,29,0.6
50,51,7,1.0
51,52,34,0.5
52,53,11,0.3333333333333333
53,54,16,0.5555555555555556
54,55,23,0.6
55,56,14,0.46153846153846156
56,57,13,0.5
57,58,2,1.0
58,59,20,1.0
59,60,5,0.5
60,61,25,0.25
61,62,11,0.5
62,63,11,1.0
63,64,19,0.6
64,65,43,0.3076923076923077
65,66,11,0.3333333333333333
66,67,30,0.5
67,68,15,1.0
68,69,16,1.0
69,70,2,1.0
70,71,21,0.5
71,72,27,0.5
72,73,33,0.5
73,74,9,0.6
74,75,8,0.5
75,76,13,0.5
76,77,6,0.5
77,78,23,0.3333333333333333
78,79,10,0.5
79,80,29,0.28
80,81,21,0.4666666666666667
81,82,47,0.3333333333333333
82,83,23,0.6
83,84,15,0.6666666666666666
84,85,11,1.0
85,86,38,0.3333333333333333
86,87,45,0.5294117647058824
87,88,78,0.3076923076923077
88,89,86,0.46153846153846156
89,90,35,0.3333333333333333
90,91,28,0.47368421052631576
91,92,10,1.0
92,93,19,0.7142857142857143
93,94,27,1.0
94,95,21,0.6666666666666666
95,96,38,0.5
96,97,34,0.6
97,98,44,0.5
98,99,57,0.5555555555555556
99,100,19,0.5
100,101,40,0.6
101,102,18,1.0
102,103,13,0.5
103,104,54,0.5
104,105,28,0.5
105,106,30,0.5294117647058824
106,107,17,1.0
107,108,3,0.0
