,no_of_months,no_of_commits,congruences
0,1,2,1.0
1,2,3,0.5
2,3,15,0.5
3,4,13,0.6
4,5,43,0.38461538461538464
5,6,51,0.5
6,7,78,0.5
7,8,53,0.5
8,9,70,0.5
9,10,30,1.0
10,11,29,0.5
11,12,11,1.0
12,13,21,1.0
13,14,29,0.5
14,15,13,0.5
15,16,13,0.5
16,17,19,0.5
17,18,17,0.5
18,19,8,0.5
19,20,11,0.5
20,21,13,0.5
21,22,18,0.6
22,23,27,0.5555555555555556
23,24,9,1.0
24,25,3,1.0
25,26,8,0.6
26,27,8,1.0
27,28,24,1.0
28,29,12,1.0
29,30,6,1.0
30,31,3,1.0
31,32,6,0.5
32,33,7,0.5
33,34,3,1.0
34,35,10,0.5
35,36,4,1.0
36,37,5,1.0
37,38,9,1.0
38,39,2,1.0
39,40,7,0.5
40,41,14,0.5
41,42,7,1.0
42,43,5,1.0
43,44,11,0.5
44,45,6,1.0
45,46,4,1.0
46,47,19,1.0
47,48,9,1.0
48,49,7,0.5
49,50,11,1.0
50,51,4,1.0
51,52,11,1.0
52,53,6,1.0
53,54,2,1.0
54,55,6,1.0
55,56,3,1.0
56,57,7,0.5
57,58,2,1.0
58,59,2,0.5
59,60,5,1.0
