,no_of_months,no_of_commits,congruences
0,1,53,0.44
1,2,61,0.2
2,3,98,0.2
3,4,101,0.3333333333333333
4,5,52,0.6666666666666666
5,6,48,0.47368421052631576
6,7,80,0.4
7,8,81,0.25
8,9,51,0.25
9,10,56,0.25
10,11,56,0.29411764705882354
11,12,67,0.5294117647058824
12,13,24,1.0
13,14,53,0.4
14,15,170,0.6
15,16,67,0.3333333333333333
16,17,54,0.5555555555555556
17,18,65,0.2631578947368421
18,19,57,0.29411764705882354
19,20,89,0.45454545454545453
20,21,7,0.5
21,22,24,0.5
22,23,11,0.6
23,24,47,0.29411764705882354
24,25,33,0.6666666666666666
25,26,46,0.3333333333333333
26,27,3,0.5
27,28,12,0.6666666666666666
28,29,10,0.5
29,30,12,0.5
30,31,11,1.0
31,32,15,0.6
32,33,3,1.0
33,34,13,1.0
34,35,38,0.625
35,36,30,0.6
36,37,8,0.6
37,38,20,0.6
38,39,8,1.0
39,40,29,0.4
40,41,53,1.0
41,42,15,0.6
42,43,36,1.0
43,44,33,0.42857142857142855
44,45,40,0.5
45,46,29,0.5
46,47,9,0.6
47,48,29,0.6
48,49,15,1.0
49,50,45,0.5
50,51,5,1.0
51,52,2,1.0
52,53,4,1.0
53,54,58,0.5
54,55,14,0.6
55,56,26,1.0
56,57,13,0.5
57,58,16,0.5
58,59,2,1.0
59,60,16,1.0
60,61,2,1.0
61,62,2,0.5
62,63,2,1.0
63,64,3,1.0
64,65,9,1.0
65,66,28,1.0
66,67,2,1.0
67,68,2,1.0
68,69,6,1.0
69,70,9,0.5
70,71,12,1.0
71,72,7,1.0
72,73,4,1.0
73,74,2,1.0
74,75,7,1.0
75,76,3,0.5
76,77,0,0.0
