,no_of_months,no_of_commits,congruences
0,1,18,1.0
1,2,22,1.0
2,3,39,1.0
3,4,14,1.0
4,5,14,1.0
5,6,8,1.0
6,7,24,1.0
7,8,72,0.5
8,9,23,1.0
9,10,81,0.5
10,11,83,0.5
11,12,72,0.5555555555555556
12,13,90,0.5555555555555556
13,14,27,1.0
14,15,65,0.5
15,16,63,0.5
16,17,122,0.5
17,18,81,0.5
18,19,52,1.0
19,20,52,1.0
20,21,98,0.5
21,22,83,0.5
22,23,104,0.42857142857142855
23,24,44,1.0
24,25,90,0.5
25,26,122,0.3333333333333333
26,27,64,0.3333333333333333
27,28,52,0.5555555555555556
28,29,54,0.6
29,30,24,0.6666666666666666
30,31,97,0.5
31,32,31,0.42857142857142855
32,33,34,0.6
33,34,19,1.0
34,35,140,0.3333333333333333
35,36,93,0.6
36,37,88,0.6666666666666666
37,38,105,0.5
38,39,130,0.3333333333333333
39,40,92,0.3333333333333333
40,41,75,0.5
41,42,179,0.3333333333333333
42,43,91,0.5
43,44,80,0.42857142857142855
44,45,104,0.5
45,46,27,0.5
46,47,90,1.0
47,48,48,1.0
48,49,36,0.5
49,50,71,1.0
50,51,58,0.5555555555555556
51,52,93,0.5
52,53,130,0.5
53,54,76,0.5
54,55,29,0.5
55,56,20,0.42857142857142855
56,57,39,1.0
57,58,24,1.0
58,59,21,0.5
59,60,47,0.5
60,61,85,0.2857142857142857
61,62,123,0.3333333333333333
62,63,105,1.0
63,64,109,0.5
64,65,159,0.3333333333333333
65,66,164,0.6666666666666666
66,67,31,0.5
67,68,12,1.0
68,69,56,1.0
69,70,54,1.0
70,71,50,1.0
71,72,18,0.5
72,73,23,1.0
73,74,13,1.0
74,75,9,1.0
75,76,10,0.5
76,77,2,0.5
77,78,4,1.0
78,79,7,1.0
79,80,2,1.0
80,81,11,1.0
81,82,15,1.0
82,83,21,1.0
83,84,2,0.5
