,no_of_months,no_of_commits,congruences
0,1,131,0.3333333333333333
1,2,8,0.5
2,3,27,0.5555555555555556
3,4,28,0.6
4,5,35,0.5
5,6,17,0.42857142857142855
6,7,61,0.35135135135135137
7,8,44,0.48148148148148145
8,9,50,0.16666666666666666
9,10,52,0.43478260869565216
10,11,31,0.4782608695652174
11,12,25,0.5714285714285714
12,13,28,0.45454545454545453
13,14,20,0.6
14,15,14,1.0
15,16,23,0.42857142857142855
16,17,14,0.6
17,18,11,0.6363636363636364
18,19,20,0.6
19,20,13,0.5
20,21,21,0.5555555555555556
21,22,14,0.6
22,23,15,0.42857142857142855
23,24,19,0.7142857142857143
24,25,15,0.29411764705882354
25,26,17,0.5
26,27,14,1.0
27,28,18,0.3333333333333333
28,29,10,0.45454545454545453
29,30,15,0.5555555555555556
30,31,25,0.5555555555555556
31,32,19,0.7142857142857143
32,33,16,0.6
33,34,12,0.5
34,35,8,0.5
35,36,2,1.0
36,37,8,1.0
37,38,14,1.0
38,39,5,1.0
39,40,6,1.0
40,41,16,0.4
41,42,2,1.0
42,43,17,0.6470588235294118
43,44,5,1.0
44,45,6,1.0
45,46,7,1.0
46,47,4,1.0
47,48,11,0.5384615384615384
48,49,5,0.7142857142857143
49,50,5,0.6
50,51,4,1.0
51,52,4,1.0
52,53,4,1.0
53,54,2,1.0
54,55,2,1.0
55,56,2,1.0
56,57,2,1.0
57,58,5,0.5
58,59,4,1.0
59,60,6,1.0
60,61,2,1.0
61,62,4,0.5
62,63,4,1.0
63,64,3,1.0
64,65,3,0.5
65,66,7,0.5
66,67,4,1.0
67,68,7,0.6666666666666666
68,69,4,1.0
69,70,6,1.0
70,71,4,1.0
71,72,2,1.0
72,73,3,0.5
73,74,2,1.0
