,no_of_months,no_of_commits,congruences
0,1,6,0.5
1,2,8,1.0
2,3,24,1.0
3,4,37,0.391304347826087
4,5,37,0.375
5,6,30,0.45454545454545453
6,7,44,0.5555555555555556
7,8,114,0.47368421052631576
8,9,126,0.3333333333333333
9,10,129,0.52
10,11,66,0.391304347826087
11,12,189,0.38
12,13,94,0.3333333333333333
13,14,98,0.28
14,15,80,0.4
15,16,77,0.28
16,17,92,0.2
17,18,68,0.16666666666666666
18,19,92,0.2
19,20,104,0.16666666666666666
20,21,101,0.3888888888888889
21,22,59,0.38461538461538464
22,23,93,0.29411764705882354
23,24,47,0.3
24,25,24,0.6
25,26,3,1.0
26,27,8,0.42857142857142855
27,28,16,0.6
28,29,37,0.5
29,30,42,0.4444444444444444
30,31,15,0.6
31,32,45,0.52
32,33,15,0.6666666666666666
33,34,68,0.36
34,35,117,0.2222222222222222
35,36,48,0.4375
36,37,74,0.2
37,38,54,0.4117647058823529
38,39,31,0.3333333333333333
39,40,37,0.38461538461538464
40,41,75,0.2
41,42,38,0.29411764705882354
42,43,18,0.375
43,44,15,0.42857142857142855
44,45,10,0.5555555555555556
45,46,11,0.5555555555555556
46,47,4,1.0
47,48,2,1.0
48,49,16,0.3333333333333333
49,50,2,1.0
50,51,6,1.0
51,52,5,0.6
52,53,15,0.375
53,54,6,0.6
54,55,20,0.5555555555555556
55,56,15,0.45454545454545453
56,57,33,0.52
57,58,24,0.42857142857142855
58,59,15,0.5555555555555556
59,60,20,0.625
60,61,20,0.4782608695652174
61,62,11,1.0
62,63,7,0.6
63,64,14,0.3333333333333333
64,65,17,0.42857142857142855
65,66,19,0.5384615384615384
66,67,19,0.4666666666666667
67,68,35,0.4117647058823529
68,69,5,0.6
69,70,3,0.6
70,71,10,0.5
71,72,5,0.5
72,73,2,1.0
73,74,25,0.3333333333333333
74,75,8,0.5555555555555556
75,76,2,1.0
76,77,5,0.6
77,78,8,0.6666666666666666
78,79,2,1.0
79,80,4,0.3333333333333333
80,81,15,0.38461538461538464
81,82,20,0.5
82,83,7,1.0
83,84,8,1.0
84,85,17,0.25
85,86,11,0.4
86,87,12,0.3333333333333333
87,88,18,0.3333333333333333
88,89,8,0.6
89,90,8,1.0
90,91,2,0.5
91,92,2,1.0
92,93,23,0.36
93,94,22,0.42857142857142855
94,95,4,1.0
95,96,12,0.5555555555555556
96,97,18,0.25
97,98,3,0.5
98,99,15,0.29411764705882354
99,100,8,0.6
100,101,7,0.6666666666666666
101,102,29,0.4
102,103,21,0.3333333333333333
103,104,3,1.0
104,105,11,0.6
105,106,8,0.6666666666666666
106,107,12,0.375
107,108,21,0.6071428571428571
108,109,7,0.6
109,110,11,0.7142857142857143
110,111,3,1.0
111,112,15,0.42857142857142855
112,113,22,0.4117647058823529
113,114,2,1.0
114,115,31,0.45161290322580644
115,116,31,0.42857142857142855
116,117,16,0.6666666666666666
117,118,15,0.5714285714285714
118,119,15,0.5
119,120,24,0.4444444444444444
120,121,20,0.5
121,122,17,0.5
