,no_of_months,no_of_commits,congruences
0,1,100,0.31645569620253167
1,2,43,0.24444444444444444
2,3,64,0.23076923076923078
3,4,59,0.52
4,5,24,0.42857142857142855
5,6,87,0.3333333333333333
6,7,90,0.4166666666666667
7,8,68,0.3684210526315789
8,9,26,0.6
9,10,42,0.6
10,11,18,0.6
11,12,49,0.3888888888888889
12,13,34,0.2631578947368421
13,14,41,0.5555555555555556
14,15,33,0.42857142857142855
15,16,25,0.5
16,17,39,0.29411764705882354
17,18,13,0.4
18,19,17,0.6
19,20,20,0.5
20,21,18,0.5
21,22,35,0.42857142857142855
22,23,83,0.3333333333333333
23,24,43,0.2
24,25,46,0.46153846153846156
25,26,26,1.0
26,27,27,0.2631578947368421
27,28,52,0.2413793103448276
28,29,27,0.6
29,30,14,0.5
30,31,23,0.21428571428571427
31,32,22,0.3
32,33,31,0.45454545454545453
33,34,54,0.3333333333333333
34,35,49,0.391304347826087
35,36,13,1.0
36,37,56,0.4666666666666667
37,38,36,0.2857142857142857
38,39,23,0.6551724137931034
39,40,36,0.1794871794871795
40,41,43,0.3055555555555556
41,42,43,0.42857142857142855
42,43,31,0.75
43,44,12,0.75
44,45,36,0.5
45,46,18,0.6363636363636364
46,47,43,0.5294117647058824
47,48,12,0.5
48,49,17,0.6
49,50,52,0.4166666666666667
50,51,26,0.6
51,52,57,0.5
52,53,24,0.5
53,54,16,0.6666666666666666
54,55,5,1.0
55,56,9,0.5555555555555556
56,57,26,0.42857142857142855
57,58,2,1.0
58,59,4,0.6
59,60,15,0.42857142857142855
60,61,31,0.6666666666666666
61,62,23,0.5555555555555556
62,63,4,1.0
63,64,7,1.0
64,65,10,0.6666666666666666
65,66,16,0.6
66,67,14,0.3333333333333333
67,68,35,0.42857142857142855
68,69,23,0.5
69,70,12,1.0
70,71,11,1.0
71,72,5,1.0
72,73,2,1.0
73,74,15,1.0
74,75,4,0.5
75,76,3,1.0
76,77,16,1.0
77,78,12,0.42857142857142855
78,79,6,1.0
79,80,11,0.5555555555555556
80,81,13,1.0
81,82,12,1.0
82,83,6,0.5
83,84,3,1.0
84,85,7,0.3333333333333333
85,86,7,1.0
86,87,18,1.0
87,88,7,1.0
88,89,7,1.0
89,90,17,0.6
90,91,3,1.0
91,92,5,0.5
92,93,0,0.0
