,no_of_months,no_of_commits,congruences
0,1,263,0.2
1,2,220,0.25
2,3,141,0.3333333333333333
3,4,96,0.375
4,5,337,0.5
5,6,96,0.25
6,7,172,0.23809523809523808
7,8,98,0.25
8,9,139,0.2
9,10,134,0.25
10,11,48,0.3333333333333333
11,12,9,0.5
12,13,6,0.5
13,14,14,1.0
14,15,8,1.0
15,16,3,1.0
16,17,3,1.0
17,18,2,1.0
18,19,2,0.5
19,20,4,0.6
20,21,5,1.0
21,22,2,1.0
22,23,3,1.0
23,24,31,0.75
24,25,4,1.0
25,26,2,1.0
26,27,10,1.0
27,28,55,0.4666666666666667
28,29,41,0.5652173913043478
29,30,23,0.42857142857142855
30,31,83,0.29411764705882354
31,32,76,0.5632183908045977
32,33,40,0.4117647058823529
33,34,27,0.4782608695652174
34,35,43,0.7611111111111111
35,36,100,0.45454545454545453
36,37,58,0.8185567010309278
37,38,55,0.423728813559322
38,39,53,0.6025641025641025
39,40,93,0.5851063829787234
40,41,68,0.4936708860759494
41,42,118,0.5407407407407407
42,43,125,0.5166666666666667
43,44,171,0.6037735849056604
44,45,107,0.37383177570093457
45,46,82,0.4898785425101215
46,47,81,0.7836593785960875
47,48,71,0.5883575883575883
48,49,93,0.6570048309178744
49,50,82,0.6923076923076923
50,51,77,0.8010471204188482
51,52,144,0.6216216216216216
52,53,68,0.6037735849056604
53,54,73,0.7985611510791367
54,55,63,0.6410256410256411
55,56,69,0.6153846153846154
56,57,25,0.6111111111111112
57,58,59,0.5
58,59,65,0.710691823899371
59,60,36,0.6
60,61,44,0.45454545454545453
61,62,36,0.4782608695652174
62,63,44,0.6962025316455697
63,64,45,0.5
64,65,22,1.0
65,66,3,1.0
66,67,37,0.5
67,68,20,0.45454545454545453
68,69,23,0.5555555555555556
69,70,25,0.5555555555555556
70,71,28,0.49295774647887325
71,72,66,0.5913978494623656
72,73,95,0.5636363636363636
73,74,81,0.6142857142857143
74,75,105,0.5818639798488665
75,76,127,0.5040650406504065
76,77,104,0.4152046783625731
77,78,46,0.6111111111111112
