,no_of_months,no_of_commits,congruences
0,1,36,0.5
1,2,27,0.5555555555555556
2,3,38,0.5555555555555556
3,4,51,0.5
4,5,15,0.6
5,6,82,0.5
6,7,48,0.5555555555555556
7,8,56,0.6
8,9,33,0.5
9,10,101,0.5
10,11,68,0.5
11,12,125,0.5
12,13,78,1.0
13,14,105,0.38461538461538464
14,15,62,0.5652173913043478
15,16,51,0.3333333333333333
16,17,64,0.5
17,18,91,0.5
18,19,99,0.6
19,20,57,0.42857142857142855
20,21,123,0.6
21,22,37,0.6666666666666666
22,23,49,0.4
23,24,36,0.375
24,25,51,0.46153846153846156
25,26,52,0.4666666666666667
26,27,30,0.5555555555555556
27,28,83,0.5
28,29,79,0.5
29,30,192,0.5
30,31,240,0.42857142857142855
31,32,159,0.5
32,33,158,0.375
33,34,101,0.5555555555555556
34,35,109,0.5555555555555556
35,36,58,0.5
36,37,129,0.6
37,38,159,0.6
38,39,165,0.29411764705882354
39,40,41,0.5555555555555556
40,41,7,1.0
41,42,42,1.0
42,43,66,0.5555555555555556
43,44,56,0.4444444444444444
44,45,46,0.25
45,46,38,0.6
46,47,64,0.5294117647058824
47,48,83,0.5555555555555556
48,49,53,0.375
49,50,84,0.5
50,51,26,0.5714285714285714
51,52,32,0.7142857142857143
52,53,76,0.6
53,54,43,0.6
54,55,94,0.6949152542372882
55,56,75,0.6
56,57,171,0.40540540540540543
57,58,187,0.4074074074074074
58,59,51,0.6
59,60,60,0.2857142857142857
60,61,71,0.6
61,62,45,0.5
62,63,30,0.38461538461538464
63,64,9,1.0
64,65,60,0.3333333333333333
65,66,44,0.5238095238095238
66,67,73,0.5294117647058824
67,68,28,0.3684210526315789
68,69,33,0.6666666666666666
69,70,55,0.7142857142857143
70,71,42,0.5294117647058824
71,72,25,0.6
72,73,22,0.5555555555555556
73,74,27,0.4
74,75,29,0.3333333333333333
75,76,2,1.0
76,77,24,0.625
77,78,157,0.40425531914893614
78,79,70,0.4482758620689655
79,80,71,0.40350877192982454
80,81,92,0.5483870967741935
81,82,55,0.6444444444444445
82,83,69,0.6666666666666666
83,84,78,0.6363636363636364
84,85,95,0.5172413793103449
85,86,74,0.5172413793103449
86,87,120,0.5714285714285714
87,88,188,0.42857142857142855
88,89,322,0.38461538461538464
89,90,41,0.5555555555555556
90,91,153,0.55
91,92,221,0.4782608695652174
92,93,49,0.5384615384615384
93,94,94,0.6410256410256411
94,95,89,0.4444444444444444
95,96,46,0.6153846153846154
96,97,93,0.5555555555555556
97,98,140,0.42105263157894735
98,99,114,0.45454545454545453
99,100,145,0.3548387096774194
100,101,141,0.53125
101,102,45,0.5333333333333333
102,103,66,0.6
103,104,45,0.5789473684210527
104,105,29,0.7142857142857143
105,106,3,1.0
