,no_of_months,no_of_commits,congruences
0,1,82,0.5833333333333334
1,2,190,0.578125
2,3,245,0.45454545454545453
3,4,252,0.47619047619047616
4,5,65,0.75
5,6,62,0.3333333333333333
6,7,82,0.5
7,8,171,0.375
8,9,167,0.5
9,10,141,0.4430379746835443
10,11,180,0.5689655172413793
11,12,182,0.5263157894736842
12,13,97,0.5
13,14,209,0.5142857142857142
14,15,182,0.4074074074074074
15,16,134,0.5625
16,17,88,0.44
17,18,102,0.40540540540540543
18,19,176,0.5
19,20,213,0.4520547945205479
20,21,117,0.5121951219512195
21,22,46,0.47368421052631576
22,23,190,0.36
23,24,58,0.7142857142857143
24,25,5,1.0
25,26,29,1.0
26,27,19,0.5
27,28,19,1.0
28,29,31,1.0
29,30,18,0.6666666666666666
30,31,23,0.4444444444444444
31,32,33,0.21951219512195122
32,33,49,0.38461538461538464
33,34,105,0.42857142857142855
34,35,69,0.4827586206896552
35,36,110,0.3125
36,37,52,0.4647887323943662
37,38,98,0.6565656565656566
38,39,64,0.6417910447761194
39,40,96,0.5051546391752577
40,41,207,0.4612794612794613
41,42,84,0.49295774647887325
42,43,122,0.5986159169550173
43,44,44,0.3230769230769231
44,45,638,0.47449768160741884
45,46,231,0.5524956970740104
46,47,79,0.3090909090909091
47,48,141,0.5988372093023255
48,49,122,0.5514018691588785
49,50,169,0.5925925925925926
50,51,303,0.5551401869158878
51,52,2,1.0
52,53,183,0.485
53,54,170,0.5813953488372093
54,55,144,0.4626334519572954
55,56,242,0.4983164983164983
56,57,118,0.5426356589147286
57,58,136,0.631578947368421
58,59,127,0.6200527704485488
59,60,197,0.617693522906793
60,61,177,0.6171673819742489
61,62,163,0.3333333333333333
62,63,81,0.5865921787709497
63,64,100,0.700507614213198
64,65,192,0.5152941176470588
65,66,165,0.45017182130584193
66,67,157,0.6064
67,68,104,0.6513317191283293
68,69,115,0.5247058823529411
69,70,80,0.5932203389830508
70,71,163,0.4854368932038835
71,72,114,0.4782608695652174
72,73,123,0.673469387755102
73,74,119,0.4982078853046595
74,75,167,0.5802781289506953
75,76,67,0.43283582089552236
76,77,190,0.620137299771167
77,78,240,0.608955223880597
78,79,202,0.47277936962750716
79,80,9,1.0
80,81,212,0.6203605514316013
81,82,187,0.5609756097560976
82,83,34,0.5625
83,84,287,0.5993998499624906
84,85,213,0.5228070175438596
85,86,184,0.5421303656597775
86,87,149,0.5060240963855421
87,88,141,0.6399026763990268
88,89,149,0.5338345864661654
89,90,251,0.568733153638814
90,91,244,0.5090543259557344
91,92,100,0.5098039215686274
92,93,68,0.71900826446281
93,94,108,0.5566037735849056
94,95,23,0.6
95,96,263,0.5605095541401274
96,97,82,0.5161290322580645
97,98,289,0.5102040816326531
98,99,183,0.5377777777777778
99,100,207,0.5597014925373134
100,101,4,1.0
101,102,4,1.0
102,103,163,0.38323353293413176
103,104,158,0.5261044176706827
104,105,2,1.0
105,106,235,0.5893854748603352
106,107,115,0.4304635761589404
107,108,112,0.525
108,109,266,0.599128540305011
109,110,220,0.38436482084690554
110,111,199,0.35344827586206895
111,112,129,0.5076923076923077
112,113,256,0.6357142857142857
113,114,393,0.6223067173637515
114,115,146,0.453781512605042
115,116,251,0.592800899887514
116,117,328,0.5464684014869888
117,118,406,0.620199146514936
118,119,492,0.5485369252206224
119,120,326,0.4421906693711968
120,121,239,0.5625
121,122,87,0.49514563106796117
122,123,307,0.5532994923857868
123,124,518,0.6112489660876758
124,125,621,0.6491969568892646
125,126,314,0.6005665722379604
126,127,257,0.6108843537414966
127,128,212,0.5972222222222222
128,129,373,0.5979814970563498
129,130,352,0.5871097683786506
130,131,398,0.5894134477825465
131,132,711,0.5920235371036286
132,133,443,0.4696969696969697
133,134,51,0.6170212765957447
134,135,213,0.4131455399061033
135,136,230,0.6401869158878505
136,137,300,0.6590909090909091
137,138,45,0.5263157894736842
138,139,265,0.5226824457593688
139,140,560,0.5945049739459971
140,141,397,0.6664544875875239
141,142,272,0.8784415584415585
142,143,293,0.6440281030444965
143,144,299,0.6695906432748538
144,145,461,0.5977927651747394
145,146,423,0.5577342047930284
146,147,253,0.5657370517928287
147,148,3,1.0
148,149,161,0.6658354114713217
149,150,280,0.7879781420765027
150,151,265,0.5921787709497207
151,152,449,0.7230609057782404
152,153,399,0.5195195195195195
153,154,119,0.5251141552511416
154,155,186,0.673202614379085
155,156,288,0.5764331210191083
156,157,23,0.5
