,no_of_months,no_of_commits,congruences
0,1,3,1.0
1,2,8,1.0
2,3,5,1.0
3,4,3,1.0
4,5,49,0.5
5,6,51,1.0
6,7,4,1.0
7,8,2,1.0
8,9,6,1.0
9,10,12,1.0
10,11,2,1.0
11,12,4,1.0
12,13,2,1.0
13,14,11,1.0
14,15,161,0.5
15,16,89,1.0
16,17,5,1.0
17,18,68,1.0
18,19,17,1.0
19,20,2,1.0
20,21,14,1.0
21,22,16,1.0
22,23,18,1.0
23,24,45,1.0
24,25,32,1.0
25,26,60,1.0
26,27,58,1.0
27,28,63,1.0
28,29,16,1.0
29,30,64,1.0
30,31,81,1.0
31,32,71,1.0
32,33,23,1.0
33,34,13,1.0
34,35,49,1.0
35,36,58,1.0
36,37,47,1.0
37,38,121,1.0
38,39,81,0.5
39,40,35,0.42857142857142855
40,41,12,0.5
41,42,45,1.0
42,43,79,0.5
43,44,13,0.5
44,45,22,1.0
45,46,22,1.0
46,47,28,1.0
47,48,6,0.5
48,49,4,1.0
49,50,4,1.0
50,51,14,0.6
51,52,42,0.5
52,53,38,1.0
53,54,42,1.0
54,55,25,0.42857142857142855
55,56,6,1.0
56,57,15,1.0
57,58,25,1.0
58,59,17,1.0
59,60,33,0.3333333333333333
60,61,20,0.3333333333333333
61,62,16,0.3333333333333333
62,63,14,1.0
63,64,53,1.0
64,65,4,1.0
65,66,3,1.0
66,67,13,1.0
67,68,8,1.0
68,69,11,1.0
69,70,13,0.5
70,71,5,1.0
71,72,8,0.5
72,73,2,1.0
73,74,15,1.0
74,75,30,0.5
75,76,5,1.0
76,77,15,1.0
77,78,10,0.6
78,79,14,1.0
79,80,12,1.0
80,81,3,1.0
81,82,5,1.0
82,83,5,1.0
83,84,9,1.0
84,85,13,1.0
85,86,15,0.5
86,87,2,1.0
87,88,3,1.0
88,89,8,1.0
