,no_of_months,no_of_commits,congruences
0,1,37,0.28
1,2,4,1.0
2,3,21,0.30612244897959184
3,4,55,0.3888888888888889
4,5,42,0.3333333333333333
5,6,10,0.5555555555555556
6,7,17,0.4375
7,8,46,0.4117647058823529
8,9,23,0.52
9,10,21,0.375
10,11,13,0.7142857142857143
11,12,27,0.5555555555555556
12,13,12,0.5294117647058824
13,14,40,0.44
14,15,39,0.423728813559322
15,16,23,0.42857142857142855
16,17,22,0.4666666666666667
17,18,18,0.4594594594594595
18,19,16,0.6363636363636364
19,20,9,1.0
20,21,4,1.0
21,22,7,0.7142857142857143
22,23,8,0.6
23,24,13,0.5238095238095238
24,25,28,0.5454545454545454
25,26,5,1.0
26,27,7,0.5555555555555556
27,28,6,0.3333333333333333
28,29,5,0.6
29,30,3,0.5
30,31,3,0.6
31,32,3,0.6
32,33,2,1.0
33,34,5,0.5
34,35,2,1.0
35,36,16,1.0
36,37,7,1.0
37,38,14,1.0
38,39,4,1.0
39,40,0,0.0
