,no_of_months,no_of_commits,congruences
0,1,10,0.7222222222222222
1,2,76,0.5748792270531401
2,3,86,0.5258620689655172
3,4,86,0.5887850467289719
4,5,82,0.5663716814159292
5,6,98,0.39325842696629215
6,7,140,0.5317725752508361
7,8,128,0.4954954954954955
8,9,53,0.3402061855670103
9,10,90,0.34513274336283184
10,11,60,0.41025641025641024
11,12,48,0.4716981132075472
12,13,84,0.48148148148148145
13,14,57,0.28888888888888886
14,15,65,0.49473684210526314
15,16,50,0.3698630136986301
16,17,39,0.4411764705882353
17,18,32,0.5853658536585366
18,19,63,0.5925925925925926
19,20,41,0.5510204081632653
20,21,26,0.6363636363636364
21,22,19,0.5263157894736842
22,23,18,0.5789473684210527
23,24,16,0.6
24,25,11,0.5384615384615384
25,26,11,0.5789473684210527
26,27,13,0.5384615384615384
27,28,4,1.0
28,29,15,0.4857142857142857
29,30,9,0.7142857142857143
30,31,11,0.29411764705882354
31,32,8,0.7142857142857143
32,33,4,1.0
33,34,19,0.4166666666666667
34,35,2,1.0
35,36,2,1.0
36,37,19,0.3333333333333333
37,38,17,1.0
38,39,11,1.0
39,40,16,0.45454545454545453
40,41,10,0.6
41,42,5,1.0
42,43,2,1.0
43,44,10,1.0
44,45,30,1.0
45,46,3,1.0
46,47,7,1.0
47,48,9,0.5
48,49,7,1.0
49,50,4,1.0
50,51,5,1.0
