,no_of_months,no_of_commits,congruences
0,1,131,0.2
1,2,94,0.4782608695652174
2,3,137,0.29411764705882354
3,4,140,0.28
4,5,142,0.2
5,6,48,0.6
6,7,9,1.0
7,8,88,0.36
8,9,86,0.28
9,10,117,0.38461538461538464
10,11,52,0.3333333333333333
11,12,14,0.5
12,13,108,0.3333333333333333
13,14,104,0.2857142857142857
14,15,103,0.375
15,16,73,0.625
16,17,93,0.4375
17,18,26,0.3333333333333333
18,19,70,0.6666666666666666
19,20,34,0.2631578947368421
20,21,37,0.6666666666666666
21,22,40,0.3333333333333333
22,23,42,0.35714285714285715
23,24,44,0.44
24,25,13,0.6666666666666666
25,26,26,0.2857142857142857
26,27,14,0.42857142857142855
27,28,37,0.4
28,29,7,0.6
29,30,6,0.5
30,31,21,0.42857142857142855
31,32,18,1.0
32,33,3,1.0
33,34,16,0.5
34,35,16,0.6
35,36,13,1.0
36,37,4,1.0
37,38,2,1.0
38,39,15,0.4
39,40,2,1.0
40,41,2,1.0
41,42,24,0.48717948717948717
42,43,3,1.0
43,44,4,0.5
44,45,3,0.5
45,46,5,1.0
46,47,4,1.0
47,48,14,1.0
48,49,7,0.5
49,50,2,1.0
50,51,11,0.5
51,52,2,1.0
52,53,13,0.5
53,54,18,1.0
54,55,10,0.5
55,56,53,0.4
56,57,6,0.6
57,58,8,0.42857142857142855
58,59,2,1.0
59,60,14,0.5
60,61,12,0.38461538461538464
61,62,5,1.0
62,63,456,0.3333333333333333
63,64,2,1.0
64,65,82,0.3617021276595745
65,66,3,1.0
66,67,62,0.3333333333333333
67,68,42,0.28
68,69,14,0.6190476190476191
69,70,113,0.21428571428571427
70,71,17,0.5555555555555556
71,72,66,0.21052631578947367
72,73,11,1.0
73,74,84,0.4594594594594595
74,75,52,0.5
75,76,12,0.7142857142857143
76,77,21,0.4444444444444444
77,78,13,0.3333333333333333
78,79,24,0.5294117647058824
79,80,30,0.4
80,81,13,1.0
81,82,13,1.0
82,83,22,0.6666666666666666
83,84,9,0.6
84,85,104,0.47058823529411764
85,86,17,0.6363636363636364
86,87,121,0.514018691588785
87,88,37,0.5454545454545454
88,89,35,0.48148148148148145
89,90,31,0.5897435897435898
90,91,68,0.5537190082644629
91,92,29,0.4074074074074074
92,93,32,0.5151515151515151
93,94,34,0.5172413793103449
94,95,15,0.6190476190476191
95,96,17,0.7777777777777778
96,97,7,0.7142857142857143
97,98,12,0.6363636363636364
98,99,32,0.6363636363636364
99,100,43,0.5652173913043478
100,101,17,1.0
101,102,14,0.7142857142857143
102,103,17,0.75
103,104,12,0.6666666666666666
