,no_of_months,no_of_commits,congruences
0,1,63,0.3333333333333333
1,2,6,0.6
2,3,38,0.47368421052631576
3,4,25,0.5111111111111111
4,5,21,0.5555555555555556
5,6,26,0.3888888888888889
6,7,8,0.5
7,8,3,1.0
8,9,5,1.0
9,10,11,0.375
10,11,7,0.6
11,12,18,0.25
12,13,4,0.6
13,14,12,0.3333333333333333
14,15,10,0.5555555555555556
15,16,10,0.5
16,17,2,1.0
17,18,5,1.0
18,19,14,0.6
19,20,2,1.0
20,21,26,0.29411764705882354
21,22,19,0.52
22,23,10,0.5294117647058824
23,24,5,0.6
24,25,3,1.0
25,26,19,0.52
26,27,16,0.5151515151515151
27,28,6,0.6666666666666666
28,29,27,0.4909090909090909
29,30,34,0.53125
30,31,17,0.6470588235294118
31,32,25,0.5616438356164384
32,33,28,0.5578947368421052
33,34,32,0.5652173913043478
34,35,34,0.7727272727272727
35,36,43,0.7044673539518901
36,37,42,0.7482517482517482
37,38,80,0.6417910447761194
38,39,38,0.6774193548387096
39,40,3,1.0
40,41,59,0.6328502415458938
41,42,61,0.6721311475409836
42,43,48,0.6395759717314488
43,44,40,0.6695652173913044
44,45,26,0.7402597402597403
45,46,63,0.3958333333333333
46,47,46,0.6780487804878049
47,48,24,0.726775956284153
48,49,39,0.48314606741573035
49,50,19,0.5121951219512195
50,51,46,0.581151832460733
51,52,55,0.5485564304461942
52,53,45,0.5895522388059702
53,54,56,0.62
54,55,63,0.3900709219858156
55,56,54,0.6460176991150443
56,57,85,0.6607773851590106
57,58,111,0.6012658227848101
58,59,103,0.5358931552587646
59,60,2,1.0
60,61,75,0.712
61,62,50,0.7777777777777778
62,63,94,0.46715328467153283
63,64,134,0.4701492537313433
