,no_of_months,no_of_commits,congruences
0,1,34,1.0
1,2,23,1.0
2,3,18,0.3333333333333333
3,4,26,1.0
4,5,13,0.6
5,6,18,0.6
6,7,23,1.0
7,8,11,0.6
8,9,40,0.16666666666666666
9,10,12,0.2727272727272727
10,11,41,0.5
11,12,22,0.4666666666666667
12,13,12,0.5555555555555556
13,14,16,0.47368421052631576
14,15,27,0.5
15,16,14,0.55
16,17,36,0.5172413793103449
17,18,44,0.5337423312883436
18,19,51,0.4864864864864865
19,20,50,0.5675675675675675
20,21,35,0.6666666666666666
21,22,47,0.5172413793103449
22,23,17,0.391304347826087
23,24,17,0.6153846153846154
24,25,28,0.5652173913043478
25,26,25,0.5862068965517241
26,27,31,0.5304347826086957
27,28,61,0.5959595959595959
28,29,42,0.7303370786516854
29,30,45,0.6058394160583942
30,31,79,0.4659090909090909
31,32,74,0.6556776556776557
32,33,51,0.552
33,34,71,0.5294117647058824
34,35,95,0.5450980392156862
35,36,88,0.4619883040935672
36,37,92,0.5625
37,38,69,0.5483870967741935
38,39,37,0.6043956043956044
39,40,65,0.5
40,41,42,0.56
41,42,46,0.5652173913043478
42,43,64,0.48917748917748916
43,44,53,0.4666666666666667
44,45,46,0.5849056603773585
45,46,67,0.6
46,47,114,0.6152380952380953
47,48,64,0.5483870967741935
