,no_of_months,no_of_commits,congruences
0,1,893,0.328125
1,2,689,0.2808988764044944
2,3,891,0.444015444015444
3,4,1117,0.3059360730593607
4,5,874,0.3989071038251366
5,6,332,0.41040462427745666
6,7,553,0.2679738562091503
7,8,626,0.2995391705069124
8,9,526,0.40476190476190477
9,10,420,0.3918918918918919
10,11,489,0.4214876033057851
11,12,443,0.3176470588235294
12,13,2198,0.08033240997229917
13,14,1451,0.2351421188630491
14,15,1626,0.22004357298474944
15,16,668,0.36683417085427134
16,17,642,0.4143920595533499
17,18,388,0.4296028880866426
18,19,239,0.5161290322580645
19,20,336,0.6217391304347826
20,21,333,0.5341365461847389
21,22,147,0.48760330578512395
22,23,337,0.5508474576271186
23,24,324,0.5831265508684863
24,25,106,0.5818181818181818
25,26,192,0.3808353808353808
26,27,142,0.6536796536796536
27,28,208,0.5701492537313433
28,29,366,0.598694942903752
29,30,257,0.47540983606557374
30,31,250,0.5038759689922481
31,32,236,0.5764705882352941
32,33,374,0.5742296918767507
33,34,374,0.6405797101449275
34,35,182,0.4852941176470588
35,36,278,0.5376623376623376
36,37,313,0.5652173913043478
37,38,306,0.5351351351351351
38,39,288,0.5981981981981982
39,40,250,0.605568445475638
40,41,577,0.5996368588288697
41,42,274,0.6694214876033058
42,43,520,0.648336727766463
43,44,272,0.6572890025575447
44,45,173,0.6
45,46,188,0.6123348017621145
46,47,173,0.594272076372315
47,48,132,0.7086092715231788
48,49,148,0.547486033519553
49,50,122,0.5741127348643006
50,51,173,0.7150932730356133
51,52,128,0.6909413854351687
52,53,131,0.6873156342182891
53,54,212,0.7116060961313013
54,55,140,0.6288659793814433
55,56,139,0.6065040650406504
56,57,156,0.5253164556962026
57,58,183,0.6749256689791873
58,59,161,0.7475832438238453
59,60,194,0.6449778900821226
60,61,168,0.6918138041733547
61,62,239,0.6895368782161235
62,63,134,0.7532051282051282
63,64,47,0.6923076923076923
64,65,218,0.7422056770590972
65,66,125,0.49696969696969695
66,67,194,0.5400696864111498
67,68,61,0.6940133037694013
68,69,39,0.6656534954407295
69,70,59,0.7
70,71,45,0.6220472440944882
71,72,58,0.6190476190476191
72,73,71,0.5454545454545454
73,74,44,0.6486486486486487
74,75,41,0.5813953488372093
75,76,66,0.6594827586206896
76,77,84,0.6267605633802817
77,78,68,0.6395348837209303
78,79,52,0.6463414634146342
79,80,82,0.7630331753554502
80,81,71,0.5882352941176471
81,82,56,0.6547619047619048
82,83,72,0.6198830409356725
83,84,54,0.6343283582089553
84,85,48,0.6186440677966102
85,86,64,0.6614173228346457
86,87,2,1.0
87,88,62,0.6078431372549019
88,89,74,0.5277777777777778
89,90,55,0.6049382716049383
90,91,62,0.654320987654321
91,92,55,0.5319148936170213
92,93,2,1.0
93,94,54,0.736318407960199
94,95,36,0.6619718309859155
95,96,31,0.7731958762886598
96,97,40,0.6258064516129033
97,98,33,0.6785714285714286
98,99,45,0.7075471698113207
99,100,37,0.5263157894736842
100,101,50,0.6122448979591837
101,102,54,0.7184115523465704
