,no_of_months,no_of_commits,congruences
0,1,857,0.1583011583011583
1,2,1053,0.18085106382978725
2,3,153,0.30612244897959184
3,4,228,0.5047619047619047
4,5,102,0.24444444444444444
5,6,101,0.36
6,7,81,0.4444444444444444
7,8,134,0.3076923076923077
8,9,174,0.5757575757575758
9,10,170,0.5555555555555556
10,11,207,0.5263157894736842
11,12,373,0.2537313432835821
12,13,100,0.47368421052631576
13,14,256,0.2972972972972973
14,15,86,0.2
15,16,126,0.3333333333333333
16,17,195,0.2571428571428571
17,18,123,0.5555555555555556
18,19,101,0.3333333333333333
19,20,121,0.3939393939393939
20,21,279,0.5
21,22,237,0.40425531914893614
22,23,160,0.37777777777777777
23,24,139,0.3142857142857143
24,25,106,0.45454545454545453
25,26,156,0.2903225806451613
26,27,260,0.40425531914893614
27,28,168,0.42105263157894735
28,29,178,0.6266666666666667
29,30,120,0.40540540540540543
30,31,313,0.3333333333333333
31,32,196,0.40540540540540543
32,33,308,0.37254901960784315
33,34,181,0.3333333333333333
34,35,345,0.2786885245901639
35,36,174,0.2777777777777778
36,37,240,0.28888888888888886
37,38,262,0.4375
38,39,389,0.22
39,40,174,0.3150684931506849
40,41,238,0.27835051546391754
41,42,329,0.4358974358974359
42,43,338,0.30612244897959184
43,44,203,0.45454545454545453
44,45,167,0.38461538461538464
45,46,286,0.4166666666666667
46,47,139,0.4461538461538462
47,48,163,0.3333333333333333
48,49,118,0.42105263157894735
49,50,159,0.3409090909090909
50,51,7,1.0
51,52,187,0.35570469798657717
52,53,134,0.37373737373737376
53,54,323,0.3671875
54,55,168,0.48201438848920863
55,56,195,0.5502392344497608
56,57,268,0.4857142857142857
57,58,214,0.5736961451247166
58,59,146,0.45185185185185184
59,60,94,0.37142857142857144
