,no_of_months,no_of_commits,congruences
0,1,98,0.625
1,2,122,0.3333333333333333
2,3,73,0.42857142857142855
3,4,139,0.375
4,5,76,0.4
5,6,138,0.4
6,7,82,0.5
7,8,77,0.6190476190476191
8,9,68,1.0
9,10,174,0.25
10,11,75,0.5
11,12,133,0.3333333333333333
12,13,54,0.5
13,14,60,0.5
14,15,114,0.5
15,16,115,0.6666666666666666
16,17,161,0.36
17,18,63,0.5
18,19,73,0.4666666666666667
19,20,53,0.45454545454545453
20,21,57,0.42857142857142855
21,22,69,0.42857142857142855
22,23,34,0.5
23,24,70,0.42857142857142855
24,25,45,0.29411764705882354
25,26,63,0.2857142857142857
26,27,85,0.25
27,28,70,0.6
28,29,79,0.3333333333333333
29,30,129,0.42857142857142855
30,31,108,0.16666666666666666
31,32,117,0.5
32,33,91,0.5
33,34,150,0.4
34,35,348,0.3
35,36,166,0.41935483870967744
36,37,51,0.45454545454545453
37,38,285,0.625
38,39,187,0.28205128205128205
39,40,142,0.42857142857142855
40,41,125,0.2727272727272727
41,42,174,0.5555555555555556
42,43,108,0.6363636363636364
43,44,81,1.0
44,45,105,0.3793103448275862
45,46,131,0.45454545454545453
46,47,81,0.38461538461538464
47,48,126,0.375
48,49,75,0.42857142857142855
49,50,62,0.3
50,51,133,0.42857142857142855
51,52,49,0.6
52,53,105,0.48148148148148145
53,54,108,0.6
54,55,66,0.3333333333333333
55,56,113,0.48148148148148145
56,57,96,0.47368421052631576
57,58,70,0.5
58,59,84,0.4117647058823529
59,60,45,0.8
60,61,43,0.29411764705882354
61,62,86,0.6923076923076923
62,63,51,0.45454545454545453
63,64,93,0.45454545454545453
64,65,59,0.45454545454545453
65,66,33,1.0
66,67,33,0.6
67,68,61,0.6
68,69,70,0.52
69,70,106,0.7142857142857143
70,71,114,0.4666666666666667
71,72,53,0.4
72,73,88,0.4782608695652174
73,74,50,0.5
74,75,80,0.6190476190476191
75,76,45,0.6
76,77,44,0.5
77,78,97,0.6
78,79,43,0.5
79,80,56,0.5
80,81,56,0.375
81,82,54,0.625
82,83,34,0.38461538461538464
83,84,22,1.0
84,85,48,0.6666666666666666
85,86,43,0.6666666666666666
86,87,75,0.3
87,88,53,0.5
88,89,34,0.5714285714285714
89,90,28,0.7142857142857143
90,91,33,0.4
91,92,47,0.6666666666666666
92,93,28,1.0
93,94,58,0.7142857142857143
94,95,44,0.6
95,96,65,0.5384615384615384
96,97,42,0.7142857142857143
97,98,49,0.6
98,99,53,0.5
99,100,39,1.0
100,101,57,0.6666666666666666
101,102,15,1.0
102,103,31,0.6
103,104,54,0.3333333333333333
104,105,47,0.3333333333333333
105,106,102,0.3333333333333333
106,107,43,0.6
107,108,37,0.5
108,109,55,0.38461538461538464
109,110,93,0.3333333333333333
110,111,60,0.3333333333333333
111,112,50,0.375
112,113,30,0.5
113,114,14,1.0
114,115,50,0.6
115,116,124,0.47368421052631576
116,117,44,0.5
117,118,62,0.3333333333333333
118,119,9,1.0
