,no_of_months,no_of_commits,congruences
0,1,106,0.44
1,2,52,1.0
2,3,63,0.3333333333333333
3,4,15,0.5
4,5,33,1.0
5,6,12,0.5
6,7,75,1.0
7,8,12,1.0
8,9,66,1.0
9,10,37,0.5
10,11,67,0.42857142857142855
11,12,36,0.5
12,13,19,1.0
13,14,58,0.5
14,15,35,1.0
15,16,9,1.0
16,17,103,1.0
17,18,53,1.0
18,19,52,1.0
19,20,39,1.0
20,21,47,1.0
21,22,40,1.0
22,23,37,1.0
23,24,92,1.0
24,25,56,1.0
25,26,55,1.0
26,27,56,0.6363636363636364
27,28,80,0.3333333333333333
28,29,104,0.5555555555555556
29,30,10,0.5
30,31,29,0.5
31,32,64,1.0
32,33,16,1.0
33,34,30,1.0
34,35,46,1.0
35,36,34,0.5
36,37,39,1.0
37,38,5,0.5
38,39,46,1.0
39,40,55,0.6
40,41,3,1.0
41,42,76,1.0
42,43,24,1.0
43,44,78,0.5
44,45,68,1.0
45,46,53,1.0
46,47,52,0.5
47,48,22,0.6
48,49,6,1.0
49,50,58,1.0
50,51,99,1.0
51,52,26,1.0
52,53,9,1.0
53,54,15,1.0
54,55,44,1.0
55,56,89,1.0
56,57,93,0.5
57,58,30,1.0
58,59,15,1.0
