,no_of_months,no_of_commits,congruences
0,1,31,0.28
1,2,14,0.6
2,3,42,0.375
3,4,18,0.3333333333333333
4,5,11,0.42857142857142855
5,6,19,0.5555555555555556
6,7,28,0.6
7,8,16,0.3333333333333333
8,9,8,0.3333333333333333
9,10,18,0.25
10,11,12,0.375
11,12,25,0.375
12,13,34,0.25
13,14,54,0.2
14,15,34,0.25
15,16,38,0.5945945945945946
16,17,67,0.4909090909090909
17,18,38,0.40540540540540543
18,19,40,0.3333333333333333
19,20,26,0.5454545454545454
20,21,30,0.6538461538461539
21,22,15,1.0
22,23,30,0.3333333333333333
23,24,21,0.7878787878787878
24,25,34,0.4634146341463415
25,26,29,0.5416666666666666
26,27,20,0.44
27,28,15,0.8333333333333334
28,29,51,0.4084507042253521
29,30,33,0.2923076923076923
30,31,34,0.45454545454545453
31,32,32,0.41935483870967744
32,33,21,0.6410256410256411
33,34,25,0.6
34,35,25,0.42857142857142855
35,36,26,0.6146788990825688
36,37,38,0.4782608695652174
37,38,24,0.582089552238806
38,39,18,0.6981132075471698
39,40,38,0.5128205128205128
40,41,43,0.6512820512820513
41,42,38,0.6363636363636364
42,43,39,0.7865168539325843
43,44,25,0.6666666666666666
44,45,42,0.5977011494252874
45,46,53,0.5590551181102362
46,47,53,0.6161137440758294
47,48,61,0.46619217081850534
48,49,122,0.5566502463054187
49,50,172,0.5372340425531915
50,51,75,0.60431654676259
51,52,101,0.5844155844155844
52,53,100,0.631578947368421
53,54,129,0.631578947368421
54,55,82,0.5675675675675675
55,56,126,0.55858310626703
56,57,81,0.6703296703296703
57,58,64,0.4965986394557823
58,59,68,0.6242424242424243
59,60,82,0.5852534562211982
60,61,121,0.6382978723404256
61,62,70,0.7098039215686275
62,63,71,0.6935933147632312
63,64,77,0.6679245283018868
64,65,154,0.6958105646630237
65,66,113,0.8166007905138339
66,67,91,0.6459770114942529
67,68,97,0.5628140703517588
68,69,168,0.6529850746268657
69,70,210,0.6050156739811913
70,71,101,0.68
71,72,93,0.5547445255474452
72,73,146,0.6218579234972678
73,74,138,0.6637168141592921
74,75,83,0.5565217391304348
75,76,63,0.5827338129496403
76,77,64,0.5708502024291497
77,78,127,0.6948717948717948
78,79,98,0.6266666666666667
79,80,104,0.6614420062695925
80,81,100,0.6350093109869647
81,82,119,0.6778523489932886
82,83,131,0.5791190864600326
83,84,73,0.6708860759493671
84,85,111,0.5991091314031181
85,86,71,0.5888501742160279
86,87,107,0.6734006734006734
87,88,56,0.7472118959107806
88,89,74,0.5878787878787879
89,90,93,0.6217765042979942
90,91,87,0.6415584415584416
91,92,114,0.588477366255144
92,93,77,0.5476190476190477
93,94,130,0.722279792746114
94,95,115,0.6943231441048034
95,96,82,0.6150234741784038
96,97,68,0.6473684210526316
97,98,76,0.7148936170212766
98,99,105,0.6503311258278146
99,100,116,0.6597014925373135
100,101,95,0.4731182795698925
101,102,64,0.5866666666666667
102,103,105,0.6907216494845361
103,104,123,0.6780104712041884
104,105,133,0.6290322580645161
105,106,134,0.7026476578411406
106,107,127,0.6707021791767555
107,108,159,0.7244973938942666
108,109,92,0.6617647058823529
109,110,81,0.5923076923076923
110,111,62,0.6432432432432432
111,112,118,0.6776034236804565
112,113,106,0.6666666666666666
113,114,116,0.5314009661835749
114,115,74,0.6363636363636364
115,116,184,0.7070499657768652
116,117,149,0.6323529411764706
117,118,131,0.6550387596899225
118,119,111,0.6451077943615257
119,120,112,0.63
120,121,106,0.5975359342915811
121,122,155,0.6853754940711463
122,123,64,0.5981308411214953
123,124,73,0.625
124,125,47,0.5853658536585366
125,126,24,0.6756756756756757
