,no_of_months,no_of_commits,congruences
0,1,60,1.0
1,2,57,1.0
2,3,55,1.0
3,4,132,1.0
4,5,41,0.5
5,6,58,0.3333333333333333
6,7,43,0.5
7,8,46,0.4444444444444444
8,9,47,0.45161290322580644
9,10,91,0.2777777777777778
10,11,58,0.2
11,12,68,0.4666666666666667
12,13,46,0.23809523809523808
13,14,2,1.0
14,15,81,0.23809523809523808
15,16,50,0.3870967741935484
16,17,85,0.28
17,18,73,0.1836734693877551
18,19,119,0.3333333333333333
19,20,33,0.4857142857142857
20,21,114,0.17857142857142858
21,22,132,0.2653061224489796
22,23,216,0.21875
23,24,134,0.1794871794871795
24,25,82,0.3888888888888889
25,26,109,0.1836734693877551
26,27,90,0.16666666666666666
27,28,145,0.2777777777777778
28,29,136,0.2777777777777778
29,30,91,0.42857142857142855
30,31,72,0.37037037037037035
31,32,71,0.24444444444444444
32,33,102,0.16666666666666666
33,34,90,0.36363636363636365
34,35,122,0.40298507462686567
35,36,182,0.30434782608695654
36,37,82,0.49019607843137253
37,38,87,0.22448979591836735
38,39,199,0.425531914893617
39,40,227,0.391304347826087
40,41,74,0.4117647058823529
41,42,79,0.2558139534883721
42,43,33,0.47619047619047616
43,44,131,0.514792899408284
44,45,87,0.4
45,46,78,0.2972972972972973
46,47,63,0.48148148148148145
47,48,120,0.5359116022099447
48,49,83,0.48299319727891155
49,50,89,0.43137254901960786
50,51,4,0.6
51,52,35,0.5675675675675675
52,53,103,0.22330097087378642
53,54,92,0.52
54,55,133,0.4528301886792453
55,56,78,0.46153846153846156
56,57,86,0.37777777777777777
57,58,2,1.0
58,59,75,0.4642857142857143
59,60,125,0.4
60,61,94,0.45
61,62,167,0.48633879781420764
62,63,23,0.4482758620689655
63,64,72,0.5058823529411764
64,65,78,0.48314606741573035
65,66,126,0.33714285714285713
66,67,18,0.47368421052631576
67,68,69,0.5172413793103449
68,69,79,0.5053763440860215
69,70,58,0.6262626262626263
70,71,126,0.5769230769230769
71,72,45,0.28
72,73,24,0.7777777777777778
73,74,92,0.3953488372093023
74,75,2,1.0
75,76,98,0.4666666666666667
76,77,51,0.375
77,78,33,0.7
78,79,90,0.4492753623188406
79,80,123,0.3888888888888889
80,81,111,0.39655172413793105
81,82,113,0.4567901234567901
82,83,46,0.5813953488372093
83,84,64,0.43661971830985913
84,85,3,1.0
85,86,63,0.47058823529411764
86,87,3,1.0
87,88,2,1.0
88,89,19,0.6
89,90,76,0.29133858267716534
90,91,82,0.45098039215686275
91,92,90,0.36363636363636365
92,93,31,0.6923076923076923
93,94,32,0.30434782608695654
94,95,91,0.3924050632911392
95,96,79,0.5106382978723404
96,97,72,0.4899328859060403
97,98,84,0.3333333333333333
98,99,87,0.35135135135135137
99,100,108,0.4573643410852713
100,101,48,0.543859649122807
101,102,47,0.6178343949044586
102,103,36,0.6
103,104,82,0.5652173913043478
104,105,92,0.4959349593495935
105,106,70,0.58
106,107,46,0.40229885057471265
107,108,92,0.43529411764705883
108,109,94,0.3230769230769231
109,110,140,0.5627906976744186
110,111,64,0.5
111,112,57,0.5471698113207547
112,113,28,0.47058823529411764
113,114,42,0.46153846153846156
114,115,39,0.6071428571428571
115,116,13,0.5652173913043478
116,117,52,0.5
117,118,48,0.5454545454545454
118,119,55,0.3333333333333333
119,120,15,0.42857142857142855
120,121,45,0.5555555555555556
121,122,52,0.3076923076923077
122,123,36,0.6666666666666666
123,124,55,0.3333333333333333
124,125,41,0.4117647058823529
125,126,28,0.5555555555555556
126,127,14,0.6
127,128,28,0.5909090909090909
128,129,30,0.5555555555555556
129,130,12,0.5714285714285714
130,131,24,0.6
131,132,13,0.5555555555555556
