,no_of_months,no_of_commits,congruences
0,1,1,0.0
1,2,814,0.5
2,3,22,0.3333333333333333
3,4,15,0.5
4,5,46,0.5
5,6,57,1.0
6,7,18,0.5
7,8,34,1.0
8,9,26,1.0
9,10,70,1.0
10,11,49,1.0
11,12,56,1.0
12,13,70,1.0
13,14,18,1.0
14,15,20,1.0
15,16,25,0.5
16,17,107,0.5
17,18,100,0.3333333333333333
18,19,55,0.3076923076923077
19,20,90,0.2
20,21,70,0.375
21,22,158,0.3617021276595745
22,23,45,0.7142857142857143
23,24,57,0.4
24,25,89,0.3333333333333333
25,26,92,0.45454545454545453
26,27,27,0.3684210526315789
27,28,139,0.30158730158730157
28,29,151,0.4457831325301205
29,30,6,1.0
30,31,103,0.4117647058823529
31,32,167,0.4758909853249476
32,33,110,0.45569620253164556
33,34,123,0.3783783783783784
34,35,104,0.38263665594855306
35,36,165,0.43478260869565216
36,37,113,0.4977168949771689
37,38,97,0.4723404255319149
38,39,190,0.5163636363636364
39,40,166,0.3665480427046263
40,41,77,0.4411764705882353
41,42,107,0.4530612244897959
42,43,156,0.43434343434343436
43,44,119,0.5549738219895288
44,45,122,0.41284403669724773
45,46,140,0.4397905759162304
46,47,328,0.46706586826347307
47,48,226,0.4799405646359584
48,49,267,0.5483234714003945
49,50,252,0.4989384288747346
50,51,259,0.5005096839959225
51,52,203,0.48004094165813715
52,53,260,0.6306818181818182
53,54,238,0.4765625
54,55,430,0.5619834710743802
55,56,321,0.5087412587412588
56,57,412,0.5488
57,58,305,0.527843137254902
58,59,370,0.44119646498980286
59,60,479,0.4284030642309959
60,61,409,0.4154870940882598
61,62,291,0.44336569579288027
62,63,287,0.5745296671490593
63,64,402,0.4760956175298805
64,65,213,0.4634146341463415
65,66,422,0.45490981963927857
66,67,151,0.5682539682539682
67,68,331,0.4765625
68,69,228,0.5433333333333333
69,70,228,0.5559633027522936
70,71,219,0.3190348525469169
71,72,261,0.4300341296928328
72,73,260,0.614406779661017
73,74,252,0.4878048780487805
74,75,239,0.5474452554744526
75,76,170,0.5113636363636364
76,77,181,0.43202416918429004
77,78,259,0.4395973154362416
78,79,420,0.4691075514874142
79,80,191,0.47257383966244726
80,81,153,0.3258426966292135
81,82,170,0.6294820717131474
82,83,172,0.5098591549295775
83,84,227,0.5141242937853108
84,85,228,0.5102803738317757
85,86,161,0.35877862595419846
86,87,171,0.5850340136054422
87,88,196,0.3671875
88,89,170,0.4232209737827715
89,90,159,0.2833333333333333
90,91,147,0.36
91,92,107,0.40186915887850466
92,93,92,0.35294117647058826
93,94,109,0.43089430894308944
94,95,170,0.4
95,96,145,0.391304347826087
96,97,132,0.19318181818181818
97,98,95,0.2054794520547945
98,99,3,1.0
99,100,113,0.49056603773584906
100,101,162,0.46534653465346537
101,102,116,0.25
102,103,75,0.42857142857142855
103,104,28,0.2857142857142857
104,105,36,0.5384615384615384
105,106,39,0.5714285714285714
106,107,23,0.7142857142857143
107,108,46,0.3684210526315789
108,109,32,0.5
109,110,4,0.5
110,111,50,0.5384615384615384
111,112,42,0.5
112,113,2,1.0
113,114,41,0.5294117647058824
114,115,5,1.0
115,116,32,0.5
116,117,63,0.38461538461538464
117,118,20,0.5
118,119,13,0.7142857142857143
119,120,5,1.0
120,121,10,0.6666666666666666
121,122,9,0.6666666666666666
122,123,9,1.0
123,124,5,1.0
124,125,6,1.0
125,126,2,1.0
