,no_of_months,no_of_commits,congruences
0,1,154,0.3333333333333333
1,2,214,0.3333333333333333
2,3,87,0.3333333333333333
3,4,98,0.2653061224489796
4,5,134,0.25
5,6,174,0.25
6,7,107,0.25
7,8,248,0.44
8,9,230,0.34375
9,10,177,0.2727272727272727
10,11,177,0.3157894736842105
11,12,195,0.2857142857142857
12,13,204,0.24
13,14,200,0.2
14,15,243,0.30303030303030304
15,16,148,0.1875
16,17,278,0.3194444444444444
17,18,217,0.35802469135802467
18,19,255,0.45864661654135336
19,20,245,0.40298507462686567
20,21,238,0.21875
21,22,171,0.453125
22,23,202,0.3575757575757576
23,24,151,0.2925170068027211
24,25,143,0.45098039215686275
25,26,326,0.23183391003460208
26,27,348,0.296137339055794
27,28,88,0.34285714285714286
28,29,232,0.4714285714285714
29,30,295,0.21333333333333335
30,31,126,0.3541666666666667
31,32,301,0.22727272727272727
32,33,65,0.4
33,34,198,0.4049586776859504
34,35,273,0.331306990881459
35,36,175,0.55893536121673
36,37,151,0.5186246418338109
37,38,191,0.3473684210526316
38,39,181,0.44155844155844154
39,40,161,0.46
40,41,128,0.4049586776859504
41,42,81,0.6153846153846154
42,43,110,0.43434343434343436
43,44,101,0.21518987341772153
44,45,128,0.2967032967032967
45,46,65,0.38095238095238093
46,47,87,0.35555555555555557
47,48,70,0.6440677966101694
48,49,129,0.36585365853658536
49,50,132,0.3063583815028902
50,51,54,0.3028571428571429
51,52,90,0.3785310734463277
52,53,38,0.4098360655737705
53,54,79,0.4
54,55,74,0.36363636363636365
55,56,172,0.4556213017751479
56,57,61,0.4666666666666667
57,58,40,0.4838709677419355
58,59,42,0.6521739130434783
59,60,49,0.41379310344827586
60,61,4,1.0
61,62,32,0.42857142857142855
62,63,40,0.45454545454545453
63,64,43,0.25
64,65,30,0.21052631578947367
65,66,24,0.5135135135135135
66,67,37,0.20754716981132076
67,68,29,0.16417910447761194
68,69,33,0.6470588235294118
69,70,19,0.7142857142857143
70,71,26,0.5555555555555556
71,72,41,0.4418604651162791
72,73,107,0.15942028985507245
73,74,53,0.19298245614035087
74,75,36,0.24242424242424243
75,76,30,0.4444444444444444
76,77,47,0.5
77,78,23,0.3333333333333333
78,79,42,0.5
79,80,17,0.5384615384615384
80,81,41,0.5384615384615384
81,82,9,1.0
