,no_of_months,no_of_commits,congruences
0,1,249,1.0
1,2,109,0.3333333333333333
2,3,52,0.45454545454545453
3,4,111,0.5135135135135135
4,5,126,0.28125
5,6,139,0.4594594594594595
6,7,199,0.2923076923076923
7,8,222,0.39285714285714285
8,9,63,0.5
9,10,129,0.3611111111111111
10,11,120,0.36082474226804123
11,12,72,0.4634146341463415
12,13,166,0.4576271186440678
13,14,105,0.4827586206896552
14,15,48,0.5757575757575758
15,16,66,0.45
16,17,94,0.5333333333333333
17,18,95,0.5
18,19,13,0.5
19,20,123,0.4418604651162791
20,21,134,0.5714285714285714
21,22,105,0.5567010309278351
22,23,66,0.5454545454545454
23,24,109,0.46551724137931033
24,25,135,0.5340909090909091
25,26,118,0.43137254901960786
26,27,131,0.42574257425742573
27,28,70,0.4153846153846154
28,29,46,0.5135135135135135
29,30,82,0.4634146341463415
30,31,77,0.45794392523364486
31,32,125,0.518324607329843
32,33,128,0.5333333333333333
33,34,98,0.5254237288135594
34,35,106,0.49606299212598426
35,36,116,0.5616438356164384
36,37,94,0.4567901234567901
37,38,98,0.4074074074074074
38,39,74,0.3442622950819672
39,40,96,0.38028169014084506
40,41,112,0.4716981132075472
41,42,110,0.4647887323943662
42,43,122,0.4
43,44,119,0.4666666666666667
44,45,72,0.32710280373831774
45,46,73,0.45652173913043476
46,47,56,0.4090909090909091
47,48,64,0.42105263157894735
48,49,98,0.47126436781609193
49,50,85,0.4426229508196721
50,51,129,0.42483660130718953
51,52,110,0.4576271186440678
52,53,116,0.4444444444444444
53,54,36,0.5882352941176471
54,55,104,0.5189873417721519
55,56,98,0.42028985507246375
56,57,118,0.4965986394557823
57,58,87,0.40298507462686567
58,59,64,0.4594594594594595
59,60,81,0.6157205240174672
60,61,78,0.5980861244019139
61,62,57,0.4603174603174603
62,63,62,0.5068493150684932
63,64,76,0.504424778761062
64,65,88,0.5081967213114754
65,66,66,0.5423728813559322
66,67,44,0.5238095238095238
67,68,65,0.5398230088495575
68,69,67,0.4032258064516129
69,70,85,0.518796992481203
70,71,89,0.5321637426900585
71,72,105,0.4342629482071713
72,73,72,0.5538461538461539
73,74,101,0.6133828996282528
74,75,91,0.4507042253521127
75,76,90,0.524822695035461
76,77,73,0.4444444444444444
77,78,36,0.5483870967741935
78,79,54,0.5661375661375662
79,80,62,0.38461538461538464
80,81,75,0.6195652173913043
81,82,53,0.5166666666666667
82,83,78,0.6598984771573604
83,84,82,0.636986301369863
84,85,56,0.5054945054945055
85,86,66,0.4666666666666667
86,87,75,0.6971830985915493
87,88,63,0.824390243902439
88,89,76,0.5752212389380531
89,90,111,0.496
90,91,49,0.6626506024096386
