,no_of_months,no_of_commits,congruences
0,1,48,0.72
1,2,38,0.4
2,3,25,0.5384615384615384
3,4,7,1.0
4,5,21,0.45454545454545453
5,6,59,0.2923076923076923
6,7,42,0.5333333333333333
7,8,42,0.5714285714285714
8,9,52,0.48717948717948717
9,10,68,0.6528925619834711
10,11,71,0.35294117647058826
11,12,50,0.3333333333333333
12,13,53,0.6060606060606061
13,14,51,0.6190476190476191
14,15,41,0.42857142857142855
15,16,44,0.4444444444444444
16,17,81,0.3644859813084112
17,18,131,0.3551912568306011
18,19,391,0.3894736842105263
19,20,157,0.3710691823899371
20,21,157,0.43915343915343913
21,22,154,0.41732283464566927
22,23,142,0.5033557046979866
23,24,153,0.5657142857142857
24,25,127,0.4326241134751773
25,26,149,0.4517766497461929
26,27,127,0.4935064935064935
27,28,132,0.453551912568306
28,29,110,0.5795918367346938
29,30,109,0.5409836065573771
30,31,143,0.5
31,32,139,0.31189710610932475
32,33,122,0.5549132947976878
33,34,138,0.49162011173184356
34,35,139,0.5271966527196653
35,36,94,0.5159817351598174
36,37,79,0.5419847328244275
37,38,132,0.592814371257485
38,39,84,0.44
39,40,152,0.6332288401253918
40,41,91,0.6540880503144654
41,42,71,0.6
42,43,133,0.7350993377483444
43,44,79,0.5098039215686274
44,45,104,0.5784313725490197
45,46,95,0.6410256410256411
46,47,197,0.680073126142596
47,48,125,0.5659340659340659
48,49,127,0.5517241379310345
49,50,101,0.48771929824561405
50,51,123,0.5800524934383202
51,52,117,0.4988399071925754
52,53,167,0.5286738351254481
53,54,172,0.5551257253384912
54,55,114,0.6243291592128801
55,56,194,0.5650118203309693
56,57,196,0.5926544240400667
57,58,150,0.6605316973415133
58,59,201,0.5788177339901478
59,60,190,0.705173635719348
60,61,188,0.5602678571428571
61,62,168,0.636896046852123
62,63,170,0.5987525987525988
63,64,154,0.6052631578947368
64,65,177,0.6790960451977401
65,66,290,0.6247304097771388
66,67,69,0.6301369863013698
