,no_of_months,no_of_commits,congruences
0,1,8,0.5
1,2,21,0.5
2,3,16,0.5
3,4,31,0.5
4,5,35,0.5555555555555556
5,6,16,0.3333333333333333
6,7,49,0.3333333333333333
7,8,18,0.42857142857142855
8,9,37,0.3333333333333333
9,10,9,0.6
10,11,23,0.375
11,12,23,0.375
12,13,17,0.5
13,14,6,0.5
14,15,11,0.5
15,16,10,0.5
16,17,14,0.6
17,18,24,0.42857142857142855
18,19,18,0.5
19,20,18,0.3333333333333333
20,21,13,0.5
21,22,10,0.42857142857142855
22,23,9,0.5
23,24,13,0.29411764705882354
24,25,11,0.5
25,26,24,0.44
26,27,30,0.5918367346938775
27,28,37,0.45454545454545453
28,29,13,0.4
29,30,13,0.6666666666666666
30,31,19,0.5172413793103449
31,32,16,0.3333333333333333
32,33,3,0.5
33,34,19,0.5625
34,35,17,0.6
35,36,2,1.0
36,37,13,0.45454545454545453
37,38,2,1.0
38,39,19,0.5
39,40,34,0.5
40,41,28,0.4482758620689655
41,42,12,0.5
42,43,13,0.4
43,44,12,0.42857142857142855
44,45,7,0.7142857142857143
45,46,53,0.3698630136986301
46,47,23,0.36
47,48,23,0.42857142857142855
48,49,20,0.5135135135135135
49,50,16,0.6363636363636364
50,51,21,0.5384615384615384
51,52,57,0.36363636363636365
52,53,71,0.5443037974683544
53,54,38,0.4666666666666667
54,55,17,0.6666666666666666
55,56,20,0.44
56,57,17,0.4
57,58,3,1.0
58,59,6,0.7142857142857143
59,60,5,0.7142857142857143
60,61,9,0.42857142857142855
61,62,20,0.4
62,63,17,0.6363636363636364
