,no_of_months,no_of_commits,congruences
0,1,28,0.5
1,2,48,0.42857142857142855
2,3,54,0.2857142857142857
3,4,35,0.3333333333333333
4,5,27,0.25
5,6,51,0.25
6,7,37,0.44680851063829785
7,8,27,0.4074074074074074
8,9,69,0.28125
9,10,23,0.5
10,11,6,0.6
11,12,41,0.35714285714285715
12,13,37,0.5737704918032787
13,14,59,0.37349397590361444
14,15,12,0.52
15,16,67,0.4387755102040816
16,17,26,0.48
17,18,30,0.45454545454545453
18,19,14,0.7142857142857143
19,20,28,0.3548387096774194
20,21,26,0.6
21,22,22,0.42857142857142855
22,23,18,0.4
23,24,13,1.0
24,25,4,1.0
25,26,20,0.6
26,27,27,0.375
27,28,9,0.5
28,29,3,1.0
29,30,3,1.0
30,31,30,0.4666666666666667
31,32,76,0.375
32,33,35,0.25
33,34,23,0.45454545454545453
34,35,17,1.0
35,36,5,1.0
36,37,24,0.6
37,38,6,1.0
38,39,13,0.6666666666666666
39,40,26,0.4117647058823529
40,41,36,0.5686274509803921
41,42,16,0.38461538461538464
42,43,12,0.6666666666666666
43,44,21,1.0
44,45,168,0.29411764705882354
45,46,47,0.42857142857142855
46,47,59,0.29411764705882354
47,48,47,0.45454545454545453
48,49,54,0.5
49,50,21,1.0
50,51,45,0.375
51,52,77,0.47368421052631576
52,53,181,0.28
53,54,15,0.3333333333333333
54,55,125,0.375
55,56,62,0.47619047619047616
56,57,48,0.3
57,58,45,0.45454545454545453
58,59,41,0.4166666666666667
59,60,17,1.0
60,61,11,0.5
61,62,14,1.0
62,63,17,0.6
63,64,13,0.7142857142857143
64,65,3,1.0
65,66,20,1.0
66,67,15,1.0
67,68,11,1.0
