,no_of_months,no_of_commits,congruences
0,1,45,0.5
1,2,35,0.5
2,3,116,0.36
3,4,87,0.5
4,5,33,0.3333333333333333
5,6,116,0.5
6,7,98,0.3333333333333333
7,8,103,0.4782608695652174
8,9,149,0.59375
9,10,143,0.5547703180212014
10,11,55,0.5244755244755245
11,12,104,0.42567567567567566
12,13,50,0.41818181818181815
13,14,72,0.5026455026455027
14,15,79,0.32231404958677684
15,16,92,0.5747126436781609
16,17,126,0.7265625
17,18,91,0.5084745762711864
18,19,68,0.48466257668711654
19,20,81,0.4368932038834951
20,21,101,0.40350877192982454
21,22,143,0.6470588235294118
22,23,82,0.4745762711864407
23,24,72,0.5208333333333334
24,25,38,0.5333333333333333
25,26,81,0.58
26,27,62,0.48936170212765956
27,28,88,0.47619047619047616
28,29,68,0.544
29,30,96,0.4129032258064516
30,31,47,0.4909090909090909
31,32,66,0.52
32,33,89,0.6152450090744102
33,34,101,0.42777777777777776
34,35,84,0.6118811881188119
35,36,72,0.49696969696969695
36,37,87,0.5589123867069486
37,38,69,0.463855421686747
38,39,115,0.5418994413407822
39,40,145,0.4318181818181818
40,41,88,0.5294117647058824
41,42,112,0.5306666666666666
42,43,61,0.559322033898305
43,44,61,0.6211453744493393
44,45,87,0.7106690777576854
45,46,62,0.5131578947368421
46,47,118,0.48760330578512395
47,48,72,0.4573643410852713
48,49,74,0.5377358490566038
49,50,62,0.51931330472103
50,51,64,0.44072948328267475
51,52,76,0.49823321554770317
52,53,69,0.4897959183673469
53,54,51,0.4641509433962264
54,55,99,0.48846153846153845
55,56,97,0.5190839694656488
56,57,61,0.2935323383084577
57,58,83,0.5294117647058824
58,59,86,0.391304347826087
59,60,116,0.5067567567567568
60,61,120,0.522248243559719
61,62,88,0.36893203883495146
62,63,136,0.4423076923076923
63,64,133,0.4885844748858447
64,65,113,0.48947368421052634
65,66,221,0.4952681388012618
66,67,210,0.3792
67,68,167,0.5162037037037037
68,69,153,0.5637583892617449
69,70,297,0.7078014184397163
70,71,219,0.5882926829268292
71,72,187,0.5651392632524708
72,73,250,0.5311418685121108
73,74,204,0.498015873015873
74,75,181,0.5401069518716578
75,76,220,0.5427603725656224
76,77,233,0.5058479532163743
77,78,138,0.5531400966183575
78,79,151,0.5749235474006116
79,80,127,0.5528364849833148
80,81,2091,0.6637967065117445
