,no_of_months,no_of_commits,congruences
0,1,16,1.0
1,2,58,1.0
2,3,61,1.0
3,4,30,1.0
4,5,51,1.0
5,6,26,1.0
6,7,36,1.0
7,8,49,1.0
8,9,30,1.0
9,10,44,1.0
10,11,19,1.0
11,12,29,1.0
12,13,12,1.0
13,14,2,1.0
14,15,18,1.0
15,16,23,1.0
16,17,31,1.0
17,18,41,1.0
18,19,45,1.0
19,20,42,1.0
20,21,26,1.0
21,22,36,0.23076923076923078
22,23,88,0.2345679012345679
23,24,38,0.2631578947368421
24,25,105,0.3333333333333333
25,26,39,0.5555555555555556
26,27,54,0.5
27,28,33,0.5
28,29,34,0.28
29,30,20,0.6
30,31,60,0.5102040816326531
31,32,60,0.5555555555555556
32,33,62,0.2
33,34,245,0.15625
34,35,88,0.44680851063829785
35,36,99,0.42857142857142855
36,37,80,0.42857142857142855
37,38,76,0.5384615384615384
38,39,32,0.6666666666666666
39,40,49,0.3333333333333333
40,41,18,1.0
41,42,44,0.5555555555555556
42,43,38,0.3333333333333333
43,44,77,0.3333333333333333
44,45,43,0.5
45,46,30,0.42857142857142855
46,47,25,0.5
47,48,38,0.3333333333333333
48,49,47,0.28
49,50,82,0.3888888888888889
50,51,61,0.5135135135135135
51,52,52,0.2631578947368421
52,53,92,0.7142857142857143
53,54,98,0.42857142857142855
54,55,110,0.5
55,56,39,0.5
56,57,88,0.3333333333333333
57,58,137,0.5
58,59,57,0.38461538461538464
59,60,43,0.5555555555555556
60,61,65,0.4
61,62,70,0.38461538461538464
62,63,31,0.42857142857142855
63,64,31,0.42857142857142855
64,65,81,0.3333333333333333
65,66,59,0.3333333333333333
66,67,133,0.6
67,68,137,0.25
68,69,109,0.3877551020408163
69,70,104,0.28
70,71,73,0.25
71,72,99,0.375
72,73,67,0.4
73,74,53,0.3333333333333333
74,75,87,0.3333333333333333
75,76,68,0.3333333333333333
76,77,90,0.5172413793103449
77,78,112,0.3939393939393939
78,79,51,0.3333333333333333
79,80,29,1.0
80,81,37,0.5
81,82,61,0.4
82,83,43,0.625
83,84,59,0.42857142857142855
84,85,84,0.38461538461538464
85,86,55,0.5384615384615384
86,87,71,0.4444444444444444
87,88,97,0.29411764705882354
88,89,74,0.3684210526315789
89,90,69,0.5384615384615384
90,91,56,0.6
91,92,41,0.5555555555555556
92,93,62,0.45454545454545453
93,94,39,0.5652173913043478
94,95,33,0.6666666666666666
95,96,52,0.5
96,97,67,0.3333333333333333
97,98,48,0.6666666666666666
98,99,52,0.6470588235294118
99,100,52,0.5555555555555556
100,101,68,0.29411764705882354
101,102,34,0.4444444444444444
102,103,45,0.5294117647058824
103,104,62,0.5
104,105,59,0.45454545454545453
105,106,66,0.6
106,107,39,0.6
107,108,52,0.6
108,109,39,0.5555555555555556
109,110,46,0.5384615384615384
110,111,48,0.44
111,112,37,0.4
112,113,13,1.0
113,114,13,1.0
114,115,54,0.5
115,116,53,0.6129032258064516
116,117,46,0.5789473684210527
117,118,51,0.627906976744186
118,119,58,0.6190476190476191
119,120,66,0.52
120,121,48,0.5
121,122,65,0.6136363636363636
122,123,52,0.24324324324324326
123,124,33,0.47368421052631576
124,125,44,0.4
125,126,32,0.5
126,127,27,0.4117647058823529
127,128,37,0.38461538461538464
128,129,30,0.5555555555555556
129,130,31,0.5555555555555556
130,131,20,0.5555555555555556
131,132,34,0.3684210526315789
132,133,34,0.5555555555555556
133,134,45,0.3333333333333333
134,135,29,0.375
135,136,35,0.6666666666666666
136,137,27,0.42857142857142855
137,138,29,0.5652173913043478
138,139,16,0.6
139,140,25,0.6363636363636364
140,141,17,1.0
141,142,15,1.0
