,no_of_months,no_of_commits,congruences
0,1,222,0.7283950617283951
1,2,102,0.6190476190476191
2,3,256,0.2727272727272727
3,4,217,0.5454545454545454
4,5,286,0.4095238095238095
5,6,238,0.42857142857142855
6,7,403,0.3983739837398374
7,8,240,0.36363636363636365
8,9,161,0.3924050632911392
9,10,184,0.6190476190476191
10,11,250,0.4925373134328358
11,12,229,0.5
12,13,253,0.3700787401574803
13,14,140,0.46218487394957986
14,15,182,0.4188034188034188
15,16,147,0.5657894736842105
16,17,112,0.6
17,18,262,0.4418604651162791
18,19,249,0.32142857142857145
19,20,278,0.4606741573033708
20,21,222,0.6896551724137931
21,22,81,0.6
22,23,283,0.48623853211009177
23,24,314,0.4351145038167939
24,25,245,0.4117647058823529
25,26,225,0.3968253968253968
26,27,295,0.38666666666666666
27,28,201,0.42028985507246375
28,29,185,0.525
29,30,167,0.5333333333333333
30,31,238,0.2987012987012987
31,32,166,0.3888888888888889
32,33,182,0.41333333333333333
33,34,98,0.6083916083916084
34,35,130,0.4588235294117647
35,36,92,0.4722222222222222
36,37,2,0.5
37,38,123,0.3888888888888889
38,39,269,0.4157303370786517
39,40,189,0.38636363636363635
40,41,136,0.373134328358209
41,42,321,0.5303643724696356
42,43,204,0.5096153846153846
43,44,194,0.463768115942029
44,45,222,0.4074074074074074
45,46,124,0.5423728813559322
46,47,342,0.4883720930232558
47,48,97,0.3125
48,49,38,0.6296296296296297
49,50,67,0.5384615384615384
50,51,46,0.5308641975308642
51,52,77,0.4897959183673469
52,53,32,0.5
53,54,38,0.5911602209944752
54,55,22,0.6666666666666666
55,56,40,0.5384615384615384
56,57,24,0.6
57,58,27,0.4
58,59,22,0.47368421052631576
59,60,80,0.425
60,61,65,0.37681159420289856
61,62,60,0.10236220472440945
62,63,33,0.5056179775280899
63,64,75,0.26956521739130435
64,65,59,0.2876712328767123
65,66,83,0.22
66,67,54,0.5238095238095238
67,68,42,0.30120481927710846
68,69,2,1.0
69,70,2,1.0
70,71,44,0.2926829268292683
71,72,45,0.48484848484848486
72,73,53,0.18823529411764706
73,74,57,0.3673469387755102
74,75,65,0.16326530612244897
75,76,41,0.45806451612903226
76,77,32,0.1864406779661017
77,78,44,0.3055555555555556
78,79,69,0.28654970760233917
79,80,67,0.36329588014981273
80,81,56,0.5567567567567567
81,82,74,0.4583333333333333
82,83,47,0.4533333333333333
83,84,54,0.5033557046979866
84,85,65,0.4431818181818182
85,86,56,0.5
86,87,43,0.42424242424242425
87,88,49,0.5263157894736842
88,89,11,0.5409836065573771
